f,k0,x,y,Re_U,Im_U
200,3.69599,-1,0.6,-0.880768,0.513682
200,3.69599,-1,0.58,-0.880782,0.513659
200,3.69599,-1,0.56,-0.880777,0.513668
200,3.69599,-1,0.54,-0.88078,0.513662
200,3.69599,-1,0.52,-0.880772,0.513676
200,3.69599,-1,0.5,-0.880781,0.513661
200,3.69599,-1,0.48,-0.880774,0.513673
200,3.69599,-1,0.46,-0.880781,0.513661
200,3.69599,-1,0.44,-0.880774,0.513673
200,3.69599,-1,0.42,-0.880781,0.51366
200,3.69599,-1,0.4,-0.880774,0.513673
200,3.69599,-1,0.38,-0.880781,0.513661
200,3.69599,-1,0.36,-0.880773,0.513674
200,3.69599,-1,0.34,-0.880781,0.513661
200,3.69599,-1,0.32,-0.880773,0.513674
200,3.69599,-1,0.3,-0.880781,0.513661
200,3.69599,-1,0.28,-0.880774,0.513673
200,3.69599,-1,0.26,-0.880781,0.51366
200,3.69599,-1,0.24,-0.880774,0.513673
200,3.69599,-1,0.22,-0.880781,0.51366
200,3.69599,-1,0.2,-0.880774,0.513673
200,3.69599,-1,0.18,-0.880781,0.51366
200,3.69599,-1,0.16,-0.880774,0.513673
200,3.69599,-1,0.14,-0.880781,0.513661
200,3.69599,-1,0.12,-0.880773,0.513674
200,3.69599,-1,0.1,-0.880781,0.513661
200,3.69599,-1,0.08,-0.880773,0.513674
200,3.69599,-1,0.06,-0.880781,0.513661
200,3.69599,-1,0.04,-0.880777,0.513667
200,3.69599,-1,0.02,-0.880782,0.51366
200,3.69599,-1,0,-0.880768,0.513683
600,11.088,-1,0.6,0.0474757,1.10595
600,11.088,-1,0.58,0.0468055,1.10594
600,11.088,-1,0.56,0.0470654,1.10594
600,11.088,-1,0.54,0.0468773,1.10594
600,11.088,-1,0.52,0.0472891,1.10594
600,11.088,-1,0.5,0.0468455,1.10594
600,11.088,-1,0.48,0.047202,1.10594
600,11.088,-1,0.46,0.0468546,1.10594
600,11.088,-1,0.44,0.0472022,1.10594
600,11.088,-1,0.42,0.0468453,1.10594
600,11.088,-1,0.4,0.0472159,1.10594
600,11.088,-1,0.38,0.0468541,1.10594
600,11.088,-1,0.36,0.0472336,1.10594
600,11.088,-1,0.34,0.0468564,1.10594
600,11.088,-1,0.32,0.0472287,1.10594
600,11.088,-1,0.3,0.0468527,1.10594
600,11.088,-1,0.28,0.0472261,1.10594
600,11.088,-1,0.26,0.0468515,1.10594
600,11.088,-1,0.24,0.0472286,1.10594
600,11.088,-1,0.22,0.0468512,1.10594
600,11.088,-1,0.2,0.0472283,1.10594
600,11.088,-1,0.18,0.0468515,1.10594
600,11.088,-1,0.16,0.0472272,1.10594
600,11.088,-1,0.14,0.0468538,1.10594
600,11.088,-1,0.12,0.0472289,1.10594
600,11.088,-1,0.1,0.0468647,1.10594
600,11.088,-1,0.08,0.0472267,1.10594
600,11.088,-1,0.06,0.0468636,1.10594
600,11.088,-1,0.04,0.0470449,1.10593
600,11.088,-1,0.02,0.0468322,1.10593
600,11.088,-1,0,0.047508,1.10594
800,14.784,-1,0.6,-0.642619,-1.24521
800,14.784,-1,0.58,-0.641581,-1.24584
800,14.784,-1,0.56,-0.64198,-1.24559
800,14.784,-1,0.54,-0.641692,-1.24579
800,14.784,-1,0.52,-0.642327,-1.24539
800,14.784,-1,0.5,-0.64164,-1.24582
800,14.784,-1,0.48,-0.642187,-1.24548
800,14.784,-1,0.46,-0.641654,-1.24583
800,14.784,-1,0.44,-0.64218,-1.24547
800,14.784,-1,0.42,-0.64163,-1.24582
800,14.784,-1,0.4,-0.642198,-1.24546
800,14.784,-1,0.38,-0.641642,-1.24582
800,14.784,-1,0.36,-0.642227,-1.24546
800,14.784,-1,0.34,-0.641649,-1.24583
800,14.784,-1,0.32,-0.642221,-1.24546
800,14.784,-1,0.3,-0.641644,-1.24583
800,14.784,-1,0.28,-0.642221,-1.24546
800,14.784,-1,0.26,-0.641648,-1.24583
800,14.784,-1,0.24,-0.642233,-1.24545
800,14.784,-1,0.22,-0.641657,-1.24582
800,14.784,-1,0.2,-0.642243,-1.24545
800,14.784,-1,0.18,-0.641668,-1.24582
800,14.784,-1,0.16,-0.642251,-1.24545
800,14.784,-1,0.14,-0.641682,-1.24581
800,14.784,-1,0.12,-0.642264,-1.24545
800,14.784,-1,0.1,-0.641709,-1.2458
800,14.784,-1,0.08,-0.64227,-1.24544
800,14.784,-1,0.06,-0.641718,-1.24581
800,14.784,-1,0.04,-0.64199,-1.2456
