f,k0,x,y,Re_U,Im_U
200,3.69599,-1,0.02,-1.05992,0.625561
200,3.69599,-1,0.04,-1.05992,0.625568
200,3.69599,-1,0.06,-1.05992,0.625563
200,3.69599,-1,0.08,-1.05991,0.625572
200,3.69599,-1,0.1,-1.05992,0.62556
200,3.69599,-1,0.12,-1.05991,0.625573
200,3.69599,-1,0.14,-1.05992,0.625562
200,3.69599,-1,0.16,-1.05991,0.625575
200,3.69599,-1,0.18,-1.05992,0.625559
200,3.69599,-1,0.2,-1.05991,0.625576
200,3.69599,-1,0.22,-1.05991,0.625563
200,3.69599,-1,0.24,-1.05991,0.625578
200,3.69599,-1,0.26,-1.05992,0.625561
200,3.69599,-1,0.28,-1.05991,0.625573
200,3.69599,-1,0.3,-1.05991,0.625561
200,3.69599,-1,0.32,-1.05991,0.625572
200,3.69599,-1,0.34,-1.05991,0.625561
200,3.69599,-1,0.36,-1.05991,0.625572
200,3.69599,-1,0.38,-1.05992,0.625562
200,3.69599,-1,0.4,-1.05991,0.625573
200,3.69599,-1,0.42,-1.05992,0.625562
200,3.69599,-1,0.44,-1.05991,0.625573
200,3.69599,-1,0.46,-1.05992,0.625562
200,3.69599,-1,0.48,-1.05991,0.625573
200,3.69599,-1,0.5,-1.05992,0.625562
200,3.69599,-1,0.52,-1.05991,0.625573
200,3.69599,-1,0.54,-1.05992,0.625562
200,3.69599,-1,0.58,-1.05992,0.625561
200,3.69599,-1,0.56,-1.05992,0.625567
200,3.69599,-1,0.6,-1.05991,0.625581
600,11.088,-1,0.02,-0.345585,1.50895
600,11.088,-1,0.04,-0.313166,1.49784
600,11.088,-1,0.06,-0.260913,1.48026
600,11.088,-1,0.08,-0.190711,1.45638
600,11.088,-1,0.1,-0.106386,1.42774
600,11.088,-1,0.12,-0.0104777,1.39529
600,11.088,-1,0.14,0.0915247,1.36059
600,11.088,-1,0.16,0.19649,1.32513
600,11.088,-1,0.18,0.298339,1.29033
600,11.088,-1,0.2,0.394371,1.25808
600,11.088,-1,0.22,0.478593,1.22914
600,11.088,-1,0.24,0.549073,1.20567
600,11.088,-1,0.26,0.600835,1.18763
600,11.088,-1,0.28,0.633594,1.17693
600,11.088,-1,0.3,0.644097,1.17296
600,11.088,-1,0.32,0.633575,1.17691
600,11.088,-1,0.34,0.60086,1.18766
600,11.088,-1,0.36,0.548939,1.2056
600,11.088,-1,0.38,0.478581,1.22917
600,11.088,-1,0.4,0.394321,1.25803
600,11.088,-1,0.42,0.298409,1.29033
600,11.088,-1,0.44,0.196433,1.32512
600,11.088,-1,0.46,0.0915105,1.36058
600,11.088,-1,0.48,-0.0105034,1.39529
600,11.088,-1,0.5,-0.106332,1.42775
600,11.088,-1,0.52,-0.190692,1.4564
600,11.088,-1,0.54,-0.260932,1.48024
600,11.088,-1,0.58,-0.345577,1.50894
600,11.088,-1,0.56,-0.313175,1.49783
600,11.088,-1,0.6,-0.356053,1.51254
800,14.784,-1,0.02,-0.863278,-1.05979
800,14.784,-1,0.04,-0.857489,-1.05863
800,14.784,-1,0.06,-0.847066,-1.05692
800,14.784,-1,0.08,-0.83411,-1.05436
800,14.784,-1,0.1,-0.817026,-1.05176
800,14.784,-1,0.12,-0.799381,-1.04822
800,14.784,-1,0.14,-0.778915,-1.04505
800,14.784,-1,0.16,-0.759457,-1.04118
800,14.784,-1,0.18,-0.738692,-1.03816
800,14.784,-1,0.2,-0.721282,-1.03446
800,14.784,-1,0.22,-0.704068,-1.03204
800,14.784,-1,0.24,-0.691503,-1.02919
800,14.784,-1,0.26,-0.680332,-1.02795
800,14.784,-1,0.28,-0.67491,-1.02638
800,14.784,-1,0.3,-0.672011,-1.02648
800,14.784,-1,0.32,-0.674868,-1.0264
800,14.784,-1,0.34,-0.680409,-1.02792
800,14.784,-1,0.36,-0.691214,-1.02927
800,14.784,-1,0.38,-0.704044,-1.03204
800,14.784,-1,0.4,-0.721123,-1.0345
800,14.784,-1,0.42,-0.738854,-1.0381
800,14.784,-1,0.44,-0.759358,-1.04121
800,14.784,-1,0.46,-0.778848,-1.04506
800,14.784,-1,0.48,-0.799334,-1.04823
800,14.784,-1,0.5,-0.817116,-1.05171
800,14.784,-1,0.52,-0.834161,-1.05433
800,14.784,-1,0.54,-0.846999,-1.05692
800,14.784,-1,0.58,-0.863272,-1.05978
800,14.784,-1,0.56,-0.857427,-1.05862
800,14.784,-1,0.6,-0.866665,-1.05975
1200,22.1759,-1,0.02,-1.32885,0.20835
1200,22.1759,-1,0.04,-1.37604,0.214018
1200,22.1759,-1,0.06,-1.44356,0.219467
1200,22.1759,-1,0.08,-1.51745,0.229444
1200,22.1759,-1,0.1,-1.58031,0.236839
1200,22.1759,-1,0.12,-1.61927,0.248636
1200,22.1759,-1,0.14,-1.61986,0.256751
1200,22.1759,-1,0.16,-1.57966,0.267327
1200,22.1759,-1,0.18,-1.49748,0.27207
1200,22.1759,-1,0.2,-1.38594,0.281602
1200,22.1759,-1,0.22,-1.25521,0.283315
1200,22.1759,-1,0.24,-1.12793,0.290694
1200,22.1759,-1,0.26,-1.0185,0.288294
1200,22.1759,-1,0.28,-0.946905,0.293786
1200,22.1759,-1,0.3,-0.920969,0.290015
1200,22.1759,-1,0.32,-0.946816,0.293588
1200,22.1759,-1,0.34,-1.0187,0.288646
1200,22.1759,-1,0.36,-1.1275,0.289668
1200,22.1759,-1,0.38,-1.25529,0.283227
1200,22.1759,-1,0.4,-1.38556,0.28105
1200,22.1759,-1,0.42,-1.49769,0.272477
1200,22.1759,-1,0.44,-1.5797,0.266848
1200,22.1759,-1,0.46,-1.61992,0.25626
1200,22.1759,-1,0.48,-1.61932,0.248355
1200,22.1759,-1,0.5,-1.58067,0.23691
1200,22.1759,-1,0.52,-1.51781,0.229294
1200,22.1759,-1,0.54,-1.44381,0.219013
1200,22.1759,-1,0.58,-1.32926,0.208045
1200,22.1759,-1,0.56,-1.37631,0.21358
1200,22.1759,-1,0.6,-1.31327,0.210761
1600,29.5679,-1,0.02,-0.183318,1.50183
1600,29.5679,-1,0.04,-0.205867,1.46116
1600,29.5679,-1,0.06,-0.243031,1.39095
1600,29.5679,-1,0.08,-0.280433,1.31563
1600,29.5679,-1,0.1,-0.324529,1.23187
1600,29.5679,-1,0.12,-0.350072,1.16896
1600,29.5679,-1,0.14,-0.37381,1.1191
1600,29.5679,-1,0.16,-0.368464,1.10287
1600,29.5679,-1,0.18,-0.361019,1.10497
1600,29.5679,-1,0.2,-0.325286,1.14161
1600,29.5679,-1,0.22,-0.293961,1.1833
