f,k0,x,y,Re_U,Im_U
200,3.69599,-1,0.58,-1.04351,0.604816
200,3.69599,-1,0.6,-1.0435,0.604837
200,3.69599,-1,0.56,-1.0435,0.604824
200,3.69599,-1,0.54,-1.04351,0.604819
200,3.69599,-1,0.52,-1.0435,0.604831
200,3.69599,-1,0.5,-1.04351,0.604818
200,3.69599,-1,0.48,-1.0435,0.604828
200,3.69599,-1,0.46,-1.0435,0.604819
200,3.69599,-1,0.44,-1.0435,0.604828
200,3.69599,-1,0.42,-1.0435,0.604817
200,3.69599,-1,0.4,-1.0435,0.604827
200,3.69599,-1,0.38,-1.0435,0.604817
200,3.69599,-1,0.36,-1.0435,0.604828
200,3.69599,-1,0.34,-1.0435,0.604818
200,3.69599,-1,0.32,-1.04349,0.604834
200,3.69599,-1,0.3,-1.0435,0.60482
200,3.69599,-1,0.28,-1.04349,0.604831
200,3.69599,-1,0.26,-1.0435,0.604817
200,3.69599,-1,0.24,-1.0435,0.604823
200,3.69599,-1,0.22,-1.0435,0.604817
200,3.69599,-1,0.2,-1.0435,0.604827
200,3.69599,-1,0.18,-1.0435,0.60482
200,3.69599,-1,0.16,-1.0435,0.604832
200,3.69599,-1,0.14,-1.0435,0.604817
200,3.69599,-1,0.12,-1.0435,0.604825
200,3.69599,-1,0.1,-1.04351,0.604817
200,3.69599,-1,0.02,-1.04351,0.604816
200,3.69599,-1,0.04,-1.0435,0.604825
200,3.69599,-1,0.08,-1.0435,0.60483
200,3.69599,-1,0.06,-1.04351,0.60482
400,7.39198,-1,0.58,0.326826,-1.09005
400,7.39198,-1,0.6,0.326658,-1.09018
400,7.39198,-1,0.56,0.326781,-1.09009
400,7.39198,-1,0.54,0.326859,-1.09005
400,7.39198,-1,0.52,0.326803,-1.09012
400,7.39198,-1,0.5,0.326958,-1.09003
400,7.39198,-1,0.48,0.326936,-1.09008
400,7.39198,-1,0.46,0.327074,-1.09001
400,7.39198,-1,0.44,0.327062,-1.09005
400,7.39198,-1,0.42,0.327209,-1.08997
400,7.39198,-1,0.4,0.327193,-1.09002
400,7.39198,-1,0.38,0.327319,-1.08995
400,7.39198,-1,0.36,0.32728,-1.09001
400,7.39198,-1,0.34,0.327392,-1.08994
400,7.39198,-1,0.32,0.327283,-1.09004
400,7.39198,-1,0.3,0.327402,-1.08995
400,7.39198,-1,0.28,0.327306,-1.09002
400,7.39198,-1,0.26,0.327396,-1.08994
400,7.39198,-1,0.24,0.327313,-1.08998
400,7.39198,-1,0.22,0.327326,-1.08995
400,7.39198,-1,0.2,0.327195,-1.09002
400,7.39198,-1,0.18,0.327189,-1.08999
400,7.39198,-1,0.16,0.32703,-1.09008
400,7.39198,-1,0.14,0.327084,-1.09
400,7.39198,-1,0.12,0.326963,-1.09006
400,7.39198,-1,0.1,0.326967,-1.09002
400,7.39198,-1,0.02,0.326827,-1.09004
400,7.39198,-1,0.04,0.326773,-1.0901
400,7.39198,-1,0.08,0.32681,-1.09012
400,7.39198,-1,0.06,0.326853,-1.09006
600,11.088,-1,0.58,-0.765749,1.42058
600,11.088,-1,0.6,-0.786311,1.42006
600,11.088,-1,0.56,-0.703476,1.42091
600,11.088,-1,0.54,-0.603009,1.42236
600,11.088,-1,0.52,-0.468157,1.42357
600,11.088,-1,0.5,-0.305755,1.42547
600,11.088,-1,0.48,-0.121815,1.42737
600,11.088,-1,0.46,0.0747002,1.42953
600,11.088,-1,0.44,0.276037,1.43173
600,11.088,-1,0.42,0.47248,1.43375
600,11.088,-1,0.4,0.656453,1.43591
600,11.088,-1,0.38,0.818887,1.43745
600,11.088,-1,0.36,0.953749,1.43919
600,11.088,-1,0.34,1.05401,1.43994
600,11.088,-1,0.32,1.1166,1.44105
600,11.088,-1,0.3,1.13723,1.44077
600,11.088,-1,0.28,1.11653,1.44101
600,11.088,-1,0.26,1.05398,1.43995
600,11.088,-1,0.24,0.953648,1.43914
600,11.088,-1,0.22,0.818868,1.43748
600,11.088,-1,0.2,0.656449,1.43588
600,11.088,-1,0.18,0.472587,1.43375
600,11.088,-1,0.16,0.276134,1.43176
600,11.088,-1,0.14,0.0746539,1.4295
600,11.088,-1,0.12,-0.121913,1.42732
600,11.088,-1,0.1,-0.305762,1.42546
600,11.088,-1,0.02,-0.765744,1.42056
600,11.088,-1,0.04,-0.703446,1.42091
600,11.088,-1,0.08,-0.468159,1.42358
600,11.088,-1,0.06,-0.602961,1.42237
700,12.936,-1,0.58,1.55155,0.12436
700,12.936,-1,0.6,1.56391,0.136235
700,12.936,-1,0.56,1.51264,0.0880822
700,12.936,-1,0.54,1.45089,0.0288236
700,12.936,-1,0.52,1.36716,-0.0503351
700,12.936,-1,0.5,1.26686,-0.145399
700,12.936,-1,0.48,1.15296,-0.253481
700,12.936,-1,0.46,1.0314,-0.368517
700,12.936,-1,0.44,0.906872,-0.48699
700,12.936,-1,0.42,0.785192,-0.601745
700,12.936,-1,0.4,0.671588,-0.710213
700,12.936,-1,0.38,0.570821,-0.804869
700,12.936,-1,0.36,0.487736,-0.884719
700,12.936,-1,0.34,0.425281,-0.942718
700,12.936,-1,0.32,0.387117,-0.980598
700,12.936,-1,0.3,0.37371,-0.991506
700,12.936,-1,0.28,0.387105,-0.980411
700,12.936,-1,0.26,0.425314,-0.942696
700,12.936,-1,0.24,0.487733,-0.884475
700,12.936,-1,0.22,0.570858,-0.804898
700,12.936,-1,0.2,0.671548,-0.710198
700,12.936,-1,0.18,0.785131,-0.60189
700,12.936,-1,0.16,0.906899,-0.487207
700,12.936,-1,0.14,1.03142,-0.368443
700,12.936,-1,0.12,1.15297,-0.253304
700,12.936,-1,0.1,1.26683,-0.145387
700,12.936,-1,0.02,1.55156,0.124348
700,12.936,-1,0.04,1.51266,0.0880028
700,12.936,-1,0.08,1.36718,-0.0503402
700,12.936,-1,0.06,1.45089,0.0287421
1000,18.48,-1,0.58,-0.0546488,0.593539
1000,18.48,-1,0.6,-0.0737816,0.591047
1000,18.48,-1,0.56,0.00331727,0.582496
1000,18.48,-1,0.54,0.0977595,0.571749
1000,18.48,-1,0.52,0.224215,0.550651
1000,18.48,-1,0.5,0.376111,0.532165
1000,18.48,-1,0.48,0.548566,0.505746
1000,18.48,-1,0.46,0.732452,0.481422
1000,18.48,-1,0.44,0.92144,0.45341
1000,18.48,-1,0.42,1.1049,0.428609
1000,18.48,-1,0.4,1.27776,0.403728
1000,18.48,-1,0.38,1.42919,0.38275
1000,18.48,-1,0.36,1.55628,0.36481
1000,18.48,-1,0.34,1.64931,0.351529
1000,18.48,-1,0.32,1.70934,0.343139
1000,18.48,-1,0.3,1.72731,0.340007
1000,18.48,-1,0.28,1.70907,0.343233
1000,18.48,-1,0.26,1.64921,0.351499
1000,18.48,-1,0.24,1.55587,0.364999
1000,18.48,-1,0.22,1.42917,0.382824
1000,18.48,-1,0.2,1.27778,0.403613
1000,18.48,-1,0.18,1.10507,0.428242
1000,18.48,-1,0.16,0.921396,0.452959
1000,18.48,-1,0.14,0.732113,0.48148
1000,18.48,-1,0.12,0.54824,0.505947
1000,18.48,-1,0.1,0.376118,0.531953
1000,18.48,-1,0.02,-0.0547689,0.59346
1000,18.48,-1,0.04,0.00330275,0.582234
1000,18.48,-1,0.08,0.224164,0.550586
1000,18.48,-1,0.06,0.0978429,0.571506
1200,22.1759,-1,0.58,-1.4652,0.041998
1200,22.1759,-1,0.6,-1.49145,-0.00296945
1200,22.1759,-1,0.56,-1.39361,0.179774
1200,22.1759,-1,0.54,-1.28797,0.378268
1200,22.1759,-1,0.52,-1.16847,0.604531
1200,22.1759,-1,0.5,-1.05197,0.804647
1200,22.1759,-1,0.48,-0.965388,0.950924
1200,22.1759,-1,0.46,-0.916738,0.998394
1200,22.1759,-1,0.44,-0.922688,0.944597
1200,22.1759,-1,0.42,-0.975398,0.777974
1200,22.1759,-1,0.4,-1.07227,0.533037
1200,22.1759,-1,0.38,-1.19299,0.233751
1200,22.1759,-1,0.36,-1.31871,-0.0642366
1200,22.1759,-1,0.34,-1.42903,-0.322714
1200,22.1759,-1,0.32,-1.50172,-0.492474
1200,22.1759,-1,0.3,-1.53022,-0.555041
1200,22.1759,-1,0.28,-1.50167,-0.492908
1200,22.1759,-1,0.26,-1.42888,-0.322247
1200,22.1759,-1,0.24,-1.31853,-0.0648096
1200,22.1759,-1,0.22,-1.193,0.233946
1200,22.1759,-1,0.2,-1.07254,0.533167
1200,22.1759,-1,0.18,-0.975483,0.778366
1200,22.1759,-1,0.16,-0.922816,0.945896
1200,22.1759,-1,0.14,-0.916724,0.998479
1200,22.1759,-1,0.12,-0.965242,0.950369
1200,22.1759,-1,0.1,-1.05186,0.80461
1200,22.1759,-1,0.02,-1.46505,0.0415863
1200,22.1759,-1,0.04,-1.39369,0.179733
1200,22.1759,-1,0.08,-1.16832,0.604387
1200,22.1759,-1,0.06,-1.28806,0.378427
1400,25.8719,-1,0.58,1.33698,-0.641617
1400,25.8719,-1,0.6,1.34924,-0.636154
1400,25.8719,-1,0.56,1.29288,-0.669973
1400,25.8719,-1,0.54,1.22952,-0.711388
1400,25.8719,-1,0.52,1.15094,-0.766044
1400,25.8719,-1,0.5,1.0743,-0.817149
1400,25.8719,-1,0.48,1.00408,-0.873095
1400,25.8719,-1,0.46,0.953182,-0.91454
1400,25.8719,-1,0.44,0.923288,-0.952543
1400,25.8719,-1,0.42,0.919239,-0.969959
1400,25.8719,-1,0.4,0.935068,-0.983376
1400,25.8719,-1,0.38,0.967588,-0.979664
1400,25.8719,-1,0.36,1.00507,-0.977136
1400,25.8719,-1,0.34,1.04169,-0.965426
1400,25.8719,-1,0.32,1.06582,-0.964166
1400,25.8719,-1,0.3,1.07596,-0.957139
1400,25.8719,-1,0.28,1.06605,-0.963218
1400,25.8719,-1,0.26,1.04188,-0.965486
1400,25.8719,-1,0.24,1.00547,-0.975769
1400,25.8719,-1,0.22,0.967908,-0.979508
1400,25.8719,-1,0.2,0.935448,-0.983165
1400,25.8719,-1,0.18,0.919387,-0.970341
1400,25.8719,-1,0.16,0.922964,-0.953701
1400,25.8719,-1,0.14,0.952741,-0.914246
1400,25.8719,-1,0.12,1.00365,-0.872355
1400,25.8719,-1,0.1,1.0738,-0.817342
1400,25.8719,-1,0.02,1.33767,-0.641953
1400,25.8719,-1,0.04,1.29347,-0.670789
1400,25.8719,-1,0.08,1.15112,-0.766385
1400,25.8719,-1,0.06,1.23009,-0.712258
1500,27.7199,-1,0.58,-1.27474,-0.745017
1500,27.7199,-1,0.6,-1.28325,-0.739095
1500,27.7199,-1,0.56,-1.27621,-0.750599
1500,27.7199,-1,0.54,-1.27056,-0.76039
1500,27.7199,-1,0.52,-1.26921,-0.765379
1500,27.7199,-1,0.5,-1.25516,-0.769493
1500,27.7199,-1,0.48,-1.24572,-0.760543
1500,27.7199,-1,0.46,-1.22578,-0.743898
1500,27.7199,-1,0.44,-1.20899,-0.71131
1500,27.7199,-1,0.42,-1.18242,-0.672464
1500,27.7199,-1,0.4,-1.16209,-0.621809
1500,27.7199,-1,0.38,-1.13461,-0.573575
1500,27.7199,-1,0.36,-1.11788,-0.522965
1500,27.7199,-1,0.34,-1.0962,-0.486921
1500,27.7199,-1,0.32,-1.09335,-0.456942
1500,27.7199,-1,0.3,-1.08256,-0.452177
1500,27.7199,-1,0.28,-1.09265,-0.457411
1500,27.7199,-1,0.26,-1.09722,-0.486811
1500,27.7199,-1,0.24,-1.11706,-0.523556
1500,27.7199,-1,0.22,-1.13492,-0.573615
1500,27.7199,-1,0.2,-1.16197,-0.62228
1500,27.7199,-1,0.18,-1.18329,-0.672778
