f,k0,x,y,Re_U,Im_U
200,3.69599,1,0.58,-0.766861,-1.00201
200,3.69599,1,0.56,-0.766855,-1.00202
200,3.69599,1,0.54,-0.76686,-1.00201
200,3.69599,1,0.52,-0.766845,-1.00202
200,3.69599,1,0.5,-0.766858,-1.00201
200,3.69599,1,0.48,-0.766853,-1.00202
200,3.69599,1,0.46,-0.766862,-1.00201
200,3.69599,1,0.44,-0.766852,-1.00202
200,3.69599,1,0.42,-0.766857,-1.00201
200,3.69599,1,0.4,-0.766848,-1.00202
200,3.69599,1,0.38,-0.766859,-1.00201
200,3.69599,1,0.36,-0.766853,-1.00202
200,3.69599,1,0.34,-0.76686,-1.00201
200,3.69599,1,0.32,-0.766853,-1.00202
200,3.69599,1,0.3,-0.766859,-1.00201
200,3.69599,1,0.28,-0.766851,-1.00202
200,3.69599,1,0.26,-0.766859,-1.00201
200,3.69599,1,0.24,-0.76685,-1.00202
200,3.69599,1,0.22,-0.766859,-1.00201
200,3.69599,1,0.18,-0.76686,-1.00201
200,3.69599,1,0.2,-0.766851,-1.00202
200,3.69599,1,0.16,-0.766851,-1.00202
200,3.69599,1,0.14,-0.76686,-1.00201
200,3.69599,1,0.1,-0.766859,-1.00201
200,3.69599,1,0.12,-0.766851,-1.00202
200,3.69599,1,0.08,-0.766851,-1.00202
200,3.69599,1,0.06,-0.766859,-1.00201
200,3.69599,1,0.02,-0.76686,-1.00201
200,3.69599,1,0.04,-0.766855,-1.00202
200,3.69599,1,0,-0.766843,-1.00203
600,11.088,1,0.58,1.1843,-0.476021
600,11.088,1,0.56,1.18441,-0.47584
600,11.088,1,0.54,1.18432,-0.475987
600,11.088,1,0.52,1.18461,-0.475553
600,11.088,1,0.5,1.18435,-0.475954
600,11.088,1,0.48,1.18445,-0.475781
600,11.088,1,0.46,1.18428,-0.47605
600,11.088,1,0.44,1.18448,-0.475747
600,11.088,1,0.42,1.18438,-0.475933
600,11.088,1,0.4,1.18455,-0.475639
600,11.088,1,0.38,1.18433,-0.47598
600,11.088,1,0.36,1.18444,-0.475779
600,11.088,1,0.34,1.18431,-0.475989
600,11.088,1,0.32,1.18444,-0.475765
600,11.088,1,0.3,1.18433,-0.475974
600,11.088,1,0.28,1.18449,-0.475709
600,11.088,1,0.26,1.18434,-0.475965
600,11.088,1,0.24,1.1845,-0.475694
600,11.088,1,0.22,1.18433,-0.475972
600,11.088,1,0.18,1.18431,-0.475988
600,11.088,1,0.2,1.18448,-0.475713
600,11.088,1,0.16,1.18447,-0.475718
600,11.088,1,0.14,1.18432,-0.475979
600,11.088,1,0.1,1.18433,-0.475958
600,11.088,1,0.12,1.18449,-0.475703
600,11.088,1,0.08,1.18449,-0.4757
600,11.088,1,0.06,1.18432,-0.475972
600,11.088,1,0.02,1.1843,-0.47599
600,11.088,1,0.04,1.18439,-0.475844
600,11.088,1,0,1.18462,-0.475486
800,14.784,1,0.58,-1.07001,-0.675713
800,14.784,1,0.56,-1.06983,-0.676174
800,14.784,1,0.54,-1.06998,-0.675803
800,14.784,1,0.52,-1.06963,-0.676966
800,14.784,1,0.5,-1.06997,-0.675898
800,14.784,1,0.48,-1.0698,-0.676339
800,14.784,1,0.46,-1.07004,-0.675634
800,14.784,1,0.44,-1.06979,-0.676441
800,14.784,1,0.42,-1.07001,-0.675991
800,14.784,1,0.4,-1.06972,-0.676744
800,14.784,1,0.38,-1.07001,-0.675842
800,14.784,1,0.36,-1.0698,-0.676336
800,14.784,1,0.34,-1.06999,-0.675798
800,14.784,1,0.32,-1.06977,-0.67636
800,14.784,1,0.3,-1.06999,-0.675834
800,14.784,1,0.28,-1.06975,-0.676524
800,14.784,1,0.26,-1.06999,-0.675863
800,14.784,1,0.24,-1.06974,-0.676562
800,14.784,1,0.22,-1.06999,-0.67583
800,14.784,1,0.18,-1.06997,-0.675761
800,14.784,1,0.2,-1.06974,-0.676491
800,14.784,1,0.16,-1.06971,-0.676453
800,14.784,1,0.14,-1.06996,-0.675778
800,14.784,1,0.1,-1.06993,-0.675827
800,14.784,1,0.12,-1.06971,-0.676499
800,14.784,1,0.08,-1.06969,-0.676494
800,14.784,1,0.06,-1.06993,-0.675785
800,14.784,1,0.02,-1.06993,-0.675718
800,14.784,1,0.04,-1.06979,-0.676097
800,14.784,1,0,-1.0695,-0.677055
1200,22.1759,1,0.58,0.92418,-0.855738
1200,22.1759,1,0.56,0.925557,-0.85494
1200,22.1759,1,0.54,0.924348,-0.85567
1200,22.1759,1,0.52,0.928004,-0.854033
1200,22.1759,1,0.5,0.924565,-0.855651
1200,22.1759,1,0.48,0.925964,-0.854816
1200,22.1759,1,0.46,0.92376,-0.855898
1200,22.1759,1,0.44,0.926252,-0.854749
1200,22.1759,1,0.42,0.924764,-0.855809
1200,22.1759,1,0.4,0.927113,-0.854471
1200,22.1759,1,0.38,0.924265,-0.85587
1200,22.1759,1,0.36,0.925819,-0.854861
1200,22.1759,1,0.34,0.924199,-0.855801
1200,22.1759,1,0.32,0.92598,-0.854747
1200,22.1759,1,0.3,0.924347,-0.855786
1200,22.1759,1,0.28,0.926474,-0.854657
1200,22.1759,1,0.26,0.924339,-0.855831
1200,22.1759,1,0.24,0.926495,-0.854655
1200,22.1759,1,0.22,0.924168,-0.85584
1200,22.1759,1,0.18,0.924012,-0.855756
1200,22.1759,1,0.2,0.926271,-0.854657
1200,22.1759,1,0.16,0.926206,-0.854516
1200,22.1759,1,0.14,0.924054,-0.855668
1200,22.1759,1,0.1,0.924062,-0.855514
1200,22.1759,1,0.12,0.926254,-0.854485
1200,22.1759,1,0.08,0.926128,-0.854351
1200,22.1759,1,0.06,0.923907,-0.855525
1200,22.1759,1,0.02,0.923745,-0.855525
1200,22.1759,1,0.04,0.924894,-0.854877
1200,22.1759,1,0,0.927983,-0.85351
1600,29.5679,1,0.58,0.603183,1.11731
1600,29.5679,1,0.56,0.600915,1.11991
1600,29.5679,1,0.54,0.603201,1.11699
1600,29.5679,1,0.52,0.598377,1.12499
1600,29.5679,1,0.5,0.603179,1.11737
1600,29.5679,1,0.48,0.600559,1.12069
1600,29.5679,1,0.46,0.603687,1.11607
1600,29.5679,1,0.44,0.600396,1.1215
1600,29.5679,1,0.42,0.603764,1.11821
1600,29.5679,1,0.4,0.599853,1.12368
1600,29.5679,1,0.38,0.604086,1.11797
1600,29.5679,1,0.36,0.601137,1.12191
1600,29.5679,1,0.34,0.604092,1.11889
1600,29.5679,1,0.32,0.601162,1.12283
1600,29.5679,1,0.3,0.604556,1.11908
1600,29.5679,1,0.28,0.601393,1.12334
1600,29.5679,1,0.26,0.605012,1.11835
1600,29.5679,1,0.24,0.601429,1.1229
1600,29.5679,1,0.22,0.604825,1.11757
1600,29.5679,1,0.18,0.604291,1.1165
1600,29.5679,1,0.2,0.601121,1.12192
1600,29.5679,1,0.16,0.600528,1.1208
1600,29.5679,1,0.14,0.6039,1.11574
1600,29.5679,1,0.1,0.60321,1.11591
1600,29.5679,1,0.12,0.600276,1.12049
1600,29.5679,1,0.08,0.599622,1.12079
1600,29.5679,1,0.06,0.603107,1.11609
1600,29.5679,1,0.02,0.603266,1.11538
1600,29.5679,1,0.04,0.601239,1.11807
1600,29.5679,1,0,0.597345,1.12459
