f,k0,x,y,Re_U,Im_U
300,5.54399,1,0.58,1.21575,-0.384486
300,5.54399,1,0.56,1.19575,-0.378104
300,5.54399,1,0.54,1.16262,-0.367689
300,5.54399,1,0.52,1.11678,-0.353136
300,5.54399,1,0.5,1.05866,-0.334821
300,5.54399,1,0.48,0.989,-0.312725
300,5.54399,1,0.46,0.908456,-0.287298
300,5.54399,1,0.44,0.817994,-0.258654
300,5.54399,1,0.42,0.718536,-0.227248
300,5.54399,1,0.4,0.611232,-0.193277
300,5.54399,1,0.38,0.497213,-0.157245
300,5.54399,1,0.36,0.377763,-0.119454
300,5.54399,1,0.34,0.25416,-0.0803785
300,5.54399,1,0.32,0.127781,-0.0404067
300,5.54399,1,0.3,3.12493e-07,-6.03604e-07
300,5.54399,1,0.28,-0.127782,0.0404056
300,5.54399,1,0.26,-0.25416,0.0803804
300,5.54399,1,0.24,-0.377762,0.119452
300,5.54399,1,0.22,-0.497213,0.157249
300,5.54399,1,0.18,-0.718537,0.227242
300,5.54399,1,0.2,-0.611234,0.193278
300,5.54399,1,0.16,-0.817989,0.258655
300,5.54399,1,0.14,-0.908455,0.287305
300,5.54399,1,0.1,-1.05867,0.334816
300,5.54399,1,0.12,-0.988995,0.312727
300,5.54399,1,0.08,-1.11678,0.353135
300,5.54399,1,0.06,-1.16262,0.367684
300,5.54399,1,0.02,-1.21575,0.384491
300,5.54399,1,0.04,-1.19576,0.378105
300,5.54399,1,0,-1.22247,0.386549
400,7.39198,1,0.58,-1.80267,0.206694
400,7.39198,1,0.56,-1.77304,0.203043
400,7.39198,1,0.54,-1.72389,0.197683
400,7.39198,1,0.52,-1.65596,0.189608
400,7.39198,1,0.5,-1.56974,0.180038
400,7.39198,1,0.48,-1.46646,0.167917
400,7.39198,1,0.46,-1.34703,0.154433
400,7.39198,1,0.44,-1.21293,0.138892
400,7.39198,1,0.42,-1.06543,0.122185
400,7.39198,1,0.4,-0.906308,0.10378
400,7.39198,1,0.38,-0.737241,0.0845274
400,7.39198,1,0.36,-0.560134,0.0641544
400,7.39198,1,0.34,-0.376858,0.0432071
400,7.39198,1,0.32,-0.189475,0.0217039
400,7.39198,1,0.3,-4.67842e-06,3.38292e-06
400,7.39198,1,0.28,0.189466,-0.0216961
400,7.39198,1,0.26,0.37686,-0.0432139
400,7.39198,1,0.24,0.560137,-0.0641418
400,7.39198,1,0.22,0.737251,-0.0845428
400,7.39198,1,0.18,1.06543,-0.122165
400,7.39198,1,0.2,0.906329,-0.103789
400,7.39198,1,0.16,1.2129,-0.138892
400,7.39198,1,0.14,1.34703,-0.154453
400,7.39198,1,0.1,1.56976,-0.18001
400,7.39198,1,0.12,1.46646,-0.167923
400,7.39198,1,0.08,1.65594,-0.189629
400,7.39198,1,0.06,1.72389,-0.197665
400,7.39198,1,0.02,1.80267,-0.206712
400,7.39198,1,0.04,1.77304,-0.203045
400,7.39198,1,0,1.81267,-0.207514
500,9.23998,1,0.58,1.325,-1.1583
500,9.23998,1,0.56,1.30349,-1.13896
500,9.23998,1,0.54,1.26709,-1.10771
500,9.23998,1,0.52,1.21751,-1.06369
500,9.23998,1,0.5,1.15375,-1.00867
500,9.23998,1,0.48,1.07811,-0.94198
500,9.23998,1,0.46,0.990102,-0.865516
500,9.23998,1,0.44,0.891752,-0.779158
500,9.23998,1,0.42,0.783112,-0.684613
500,9.23998,1,0.4,0.666306,-0.582149
500,9.23998,1,0.38,0.541889,-0.473698
500,9.23998,1,0.36,0.411784,-0.35982
500,9.23998,1,0.34,0.277001,-0.242143
500,9.23998,1,0.32,0.139295,-0.121721
500,9.23998,1,0.3,3.20771e-06,-9.06988e-06
500,9.23998,1,0.28,-0.139289,0.121702
500,9.23998,1,0.26,-0.277003,0.242155
