f,k0,x,y,Re_U,Im_U
300,5.54399,1,0.58,1.67458,0.090395
300,5.54399,1,0.56,1.66472,0.0795318
300,5.54399,1,0.54,1.64845,0.0613939
300,5.54399,1,0.52,1.62588,0.0364307
300,5.54399,1,0.5,1.5973,0.00465224
300,5.54399,1,0.48,1.563,-0.0333293
300,5.54399,1,0.46,1.52339,-0.0773419
300,5.54399,1,0.44,1.47887,-0.126673
300,5.54399,1,0.42,1.42994,-0.18101
300,5.54399,1,0.4,1.37714,-0.239535
300,5.54399,1,0.38,1.32103,-0.301818
300,5.54399,1,0.36,1.26227,-0.366979
300,5.54399,1,0.34,1.20144,-0.434486
300,5.54399,1,0.32,1.13927,-0.50343
300,5.54399,1,0.3,1.07637,-0.573215
300,5.54399,1,0.28,1.01352,-0.642931
300,5.54399,1,0.26,0.951305,-0.711942
300,5.54399,1,0.24,0.890517,-0.779379
300,5.54399,1,0.22,0.831701,-0.844606
300,5.54399,1,0.2,0.775638,-0.906814
300,5.54399,1,0.18,0.722788,-0.965407
300,5.54399,1,0.16,0.673901,-1.01967
300,5.54399,1,0.14,0.629328,-1.06907
300,5.54399,1,0.02,0.478105,-1.23679
300,5.54399,1,0.04,0.487997,-1.22588
300,5.54399,1,0.06,0.504254,-1.20779
300,5.54399,1,0.12,0.589754,-1.11301
300,5.54399,1,0.1,0.555407,-1.15105
300,5.54399,1,0.08,0.52687,-1.18275
300,5.54399,1,0,0.47488,-1.24042
400,7.39198,1,0.58,-0.369484,0.564385
400,7.39198,1,0.56,-0.361976,0.574727
400,7.39198,1,0.54,-0.349635,0.592047
400,7.39198,1,0.52,-0.33248,0.615843
400,7.39198,1,0.5,-0.310728,0.646131
400,7.39198,1,0.48,-0.284666,0.682336
400,7.39198,1,0.46,-0.254544,0.7243
400,7.39198,1,0.44,-0.220737,0.771341
400,7.39198,1,0.42,-0.183516,0.823137
400,7.39198,1,0.4,-0.143426,0.878951
400,7.39198,1,0.38,-0.100751,0.938318
400,7.39198,1,0.36,-0.0561445,1.00047
400,7.39198,1,0.34,-0.00987598,1.06481
400,7.39198,1,0.32,0.0372865,1.13059
400,7.39198,1,0.3,0.0851365,1.1971
400,7.39198,1,0.28,0.132797,1.26363
400,7.39198,1,0.26,0.180131,1.32938
400,7.39198,1,0.24,0.226195,1.39376
400,7.39198,1,0.22,0.270961,1.4559
400,7.39198,1,0.2,0.313408,1.5153
400,7.39198,1,0.18,0.353656,1.5711
400,7.39198,1,0.16,0.390633,1.62294
400,7.39198,1,0.14,0.424605,1.66997
400,7.39198,1,0.02,0.539385,1.82994
400,7.39198,1,0.04,0.531771,1.81961
400,7.39198,1,0.06,0.519536,1.80228
400,7.39198,1,0.12,0.454495,1.71198
400,7.39198,1,0.1,0.48071,1.74817
400,7.39198,1,0.08,0.502224,1.7785
400,7.39198,1,0,0.54161,1.83356
500,9.23998,1,0.58,-0.317065,-0.0705144
500,9.23998,1,0.56,-0.329846,-0.0748708
500,9.23998,1,0.54,-0.35095,-0.0823553
500,9.23998,1,0.52,-0.380238,-0.0924803
500,9.23998,1,0.5,-0.417334,-0.105382
500,9.23998,1,0.48,-0.461886,-0.120798
500,9.23998,1,0.46,-0.513418,-0.138689
500,9.23998,1,0.44,-0.571382,-0.158753
500,9.23998,1,0.42,-0.635195,-0.180765
500,9.23998,1,0.4,-0.70413,-0.204559
500,9.23998,1,0.38,-0.777514,-0.229738
500,9.23998,1,0.36,-0.854495,-0.256238
500,9.23998,1,0.34,-0.934314,-0.28346
500,9.23998,1,0.32,-1.01603,-0.311515
500,9.23998,1,0.3,-1.09885,-0.339569
500,9.23998,1,0.28,-1.18176,-0.367942
500,9.23998,1,0.26,-1.26397,-0.395605
500,9.23998,1,0.24,-1.34443,-0.42308
500,9.23998,1,0.22,-1.42242,-0.449125
500,9.23998,1,0.2,-1.49686,-0.474517
500,9.23998,1,0.18,-1.56717,-0.497805
500,9.23998,1,0.16,-1.63227,-0.520013
500,9.23998,1,0.14,-1.69172,-0.53954
500,9.23998,1,0.02,-1.89394,-0.606974
500,9.23998,1,0.04,-1.88069,-0.602877
500,9.23998,1,0.06,-1.85892,-0.595337
500,9.23998,1,0.12,-1.74455,-0.557615
500,9.23998,1,0.1,-1.79047,-0.572535
500,9.23998,1,0.08,-1.82863,-0.585665
500,9.23998,1,0,-1.89825,-0.609046
600,11.088,1,0.58,-0.183574,-0.0678289
600,11.088,1,0.56,-0.162093,-0.0950359
600,11.088,1,0.54,-0.126345,-0.138892
600,11.088,1,0.52,-0.0780108,-0.198683
600,11.088,1,0.5,-0.0177972,-0.271832
600,11.088,1,0.48,0.0525476,-0.356424
600,11.088,1,0.46,0.131571,-0.449435
600,11.088,1,0.44,0.217289,-0.548177
600,11.088,1,0.42,0.307647,-0.649543
600,11.088,1,0.4,0.400949,-0.750491
600,11.088,1,0.38,0.494804,-0.848292
600,11.088,1,0.36,0.588001,-0.940061
600,11.088,1,0.34,0.678002,-1.02385
600,11.088,1,0.32,0.764356,-1.0973
600,11.088,1,0.3,0.844573,-1.15961
600,11.088,1,0.28,0.919054,-1.20918
600,11.088,1,0.26,0.98558,-1.24649
600,11.088,1,0.24,1.04536,-1.2708
600,11.088,1,0.22,1.09651,-1.28385
600,11.088,1,0.2,1.14097,-1.28564
600,11.088,1,0.18,1.17719,-1.27899
