f,k0,x,y,Re_U,Im_U
200,3.69599,1,0.02,-1.05743,-0.737682
200,3.69599,1,0.04,-1.05743,-0.737685
200,3.69599,1,0.06,-1.05743,-0.737681
200,3.69599,1,0.08,-1.05742,-0.73769
200,3.69599,1,0.1,-1.05743,-0.737684
200,3.69599,1,0.12,-1.05742,-0.737696
200,3.69599,1,0.14,-1.05743,-0.737682
200,3.69599,1,0.16,-1.05742,-0.73769
200,3.69599,1,0.18,-1.05742,-0.737681
200,3.69599,1,0.2,-1.05742,-0.737693
200,3.69599,1,0.22,-1.05742,-0.737681
200,3.69599,1,0.24,-1.05742,-0.73769
200,3.69599,1,0.26,-1.05742,-0.737681
200,3.69599,1,0.28,-1.05742,-0.737691
200,3.69599,1,0.3,-1.05742,-0.737681
200,3.69599,1,0.32,-1.05742,-0.737691
200,3.69599,1,0.34,-1.05742,-0.737681
200,3.69599,1,0.36,-1.05742,-0.737691
200,3.69599,1,0.38,-1.05742,-0.737681
200,3.69599,1,0.4,-1.05742,-0.737691
200,3.69599,1,0.42,-1.05742,-0.737681
200,3.69599,1,0.44,-1.05742,-0.737691
200,3.69599,1,0.46,-1.05743,-0.737681
200,3.69599,1,0.48,-1.05742,-0.737692
200,3.69599,1,0.5,-1.05743,-0.737682
200,3.69599,1,0.52,-1.05742,-0.737691
200,3.69599,1,0.6,-1.05742,-0.737701
200,3.69599,1,0.58,-1.05743,-0.737682
200,3.69599,1,0.54,-1.05743,-0.737682
200,3.69599,1,0.56,-1.05742,-0.737687
600,11.088,1,0.02,-0.35625,-0.840676
600,11.088,1,0.04,-0.31528,-0.865036
600,11.088,1,0.06,-0.248927,-0.904105
600,11.088,1,0.08,-0.159891,-0.956563
600,11.088,1,0.1,-0.0526009,-1.01984
600,11.088,1,0.12,0.0690139,-1.09147
600,11.088,1,0.14,0.198498,-1.16806
600,11.088,1,0.16,0.331483,-1.24633
600,11.088,1,0.18,0.461063,-1.32302
600,11.088,1,0.2,0.582768,-1.39445
600,11.088,1,0.22,0.689757,-1.45797
600,11.088,1,0.24,0.778986,-1.51017
600,11.088,1,0.26,0.844961,-1.54954
600,11.088,1,0.28,0.886433,-1.57352
600,11.088,1,0.3,0.899859,-1.58194
600,11.088,1,0.32,0.886437,-1.57352
600,11.088,1,0.34,0.84496,-1.54954
600,11.088,1,0.36,0.779006,-1.51018
600,11.088,1,0.38,0.689754,-1.45795
600,11.088,1,0.4,0.582737,-1.39445
600,11.088,1,0.42,0.461082,-1.323
600,11.088,1,0.44,0.331549,-1.24634
600,11.088,1,0.46,0.198482,-1.16804
600,11.088,1,0.48,0.0688908,-1.09146
600,11.088,1,0.5,-0.052633,-1.01984
600,11.088,1,0.52,-0.159855,-0.956586
600,11.088,1,0.6,-0.369777,-0.832687
600,11.088,1,0.58,-0.356269,-0.840669
600,11.088,1,0.54,-0.248864,-0.904061
600,11.088,1,0.56,-0.315258,-0.865055
800,14.784,1,0.02,-1.50009,0.958294
800,14.784,1,0.04,-1.46286,0.948382
800,14.784,1,0.06,-1.40163,0.934025
800,14.784,1,0.08,-1.32084,0.913409
800,14.784,1,0.1,-1.22195,0.889899
800,14.784,1,0.12,-1.11164,0.861759
800,14.784,1,0.14,-0.991591,0.833277
800,14.784,1,0.16,-0.870513,0.803108
800,14.784,1,0.18,-0.750958,0.774131
800,14.784,1,0.2,-0.640443,0.746672
800,14.784,1,0.22,-0.541401,0.722572
800,14.784,1,0.24,-0.46041,0.702762
800,14.784,1,0.26,-0.399181,0.687613
800,14.784,1,0.28,-0.361939,0.678637
800,14.784,1,0.3,-0.348885,0.67521
800,14.784,1,0.32,-0.361939,0.678615
800,14.784,1,0.34,-0.399189,0.687601
800,14.784,1,0.36,-0.460411,0.702692
800,14.784,1,0.38,-0.541424,0.722575
800,14.784,1,0.4,-0.640325,0.746703
800,14.784,1,0.42,-0.750998,0.774105
800,14.784,1,0.44,-0.870567,0.803017
800,14.784,1,0.46,-0.991675,0.833267
800,14.784,1,0.48,-1.11135,0.861881
800,14.784,1,0.5,-1.22184,0.889836
800,14.784,1,0.52,-1.32098,0.913211
800,14.784,1,0.6,-1.51424,0.959851
800,14.784,1,0.58,-1.50003,0.958295
800,14.784,1,0.54,-1.40168,0.934036
800,14.784,1,0.56,-1.46302,0.948229
1200,22.1759,1,0.02,-0.879436,-0.898401
1200,22.1759,1,0.04,-0.771088,-0.848967
1200,22.1759,1,0.06,-0.619937,-0.772082
1200,22.1759,1,0.08,-0.459322,-0.68062
1200,22.1759,1,0.1,-0.333128,-0.584283
1200,22.1759,1,0.12,-0.2752,-0.49544
1200,22.1759,1,0.14,-0.317178,-0.421316
1200,22.1759,1,0.16,-0.468179,-0.371273
1200,22.1759,1,0.18,-0.722742,-0.34587
1200,22.1759,1,0.2,-1.05587,-0.346694
1200,22.1759,1,0.22,-1.42769,-0.3591
1200,22.1759,1,0.24,-1.78999,-0.388508
1200,22.1759,1,0.26,-2.09247,-0.409796
1200,22.1759,1,0.28,-2.29403,-0.434861
1200,22.1759,1,0.3,-2.36364,-0.435793
1200,22.1759,1,0.32,-2.29406,-0.434928
1200,22.1759,1,0.34,-2.09235,-0.409962
1200,22.1759,1,0.36,-1.79011,-0.388699
1200,22.1759,1,0.38,-1.42744,-0.359349
1200,22.1759,1,0.4,-1.05593,-0.346447
1200,22.1759,1,0.42,-0.72259,-0.346175
1200,22.1759,1,0.44,-0.467916,-0.371977
1200,22.1759,1,0.46,-0.316939,-0.421456
1200,22.1759,1,0.48,-0.275199,-0.49456
1200,22.1759,1,0.5,-0.332729,-0.584027
1200,22.1759,1,0.52,-0.458908,-0.680977
1200,22.1759,1,0.6,-0.915768,-0.919141
1200,22.1759,1,0.58,-0.879118,-0.898208
1200,22.1759,1,0.54,-0.619862,-0.772406
1200,22.1759,1,0.56,-0.770688,-0.849212
1600,29.5679,1,0.02,0.0541241,-0.52531
1600,29.5679,1,0.04,0.07477,-0.475682
1600,29.5679,1,0.06,0.102674,-0.409991
1600,29.5679,1,0.08,0.13662,-0.354668
1600,29.5679,1,0.1,0.170035,-0.33645
1600,29.5679,1,0.12,0.19701,-0.378948
1600,29.5679,1,0.14,0.212504,-0.498959
1600,29.5679,1,0.16,0.216005,-0.700858
1600,29.5679,1,0.18,0.206201,-0.977318
1600,29.5679,1,0.2,0.192887,-1.30692
1600,29.5679,1,0.22,0.158875,-1.65231
1600,29.5679,1,0.24,0.141114,-1.98144
1600,29.5679,1,0.26,0.10486,-2.2463
1600,29.5679,1,0.28,0.10231,-2.42611
1600,29.5679,1,0.3,0.082039,-2.48268
1600,29.5679,1,0.32,0.103042,-2.42625
1600,29.5679,1,0.34,0.106268,-2.24608
1600,29.5679,1,0.36,0.142578,-1.98153
1600,29.5679,1,0.38,0.160455,-1.6513
