f,k0,x,y,Re_U,Im_U
300,5.54399,1,0.02,1.02079,-0.784931
300,5.54399,1,0.04,1.0208,-0.784921
300,5.54399,1,0.06,1.02079,-0.784934
300,5.54399,1,0.08,1.02082,-0.784908
300,5.54399,1,0.1,1.0208,-0.784926
300,5.54399,1,0.12,1.02084,-0.784887
300,5.54399,1,0.14,1.0208,-0.784929
300,5.54399,1,0.16,1.02083,-0.784903
300,5.54399,1,0.18,1.02081,-0.784929
300,5.54399,1,0.2,1.02085,-0.784893
300,5.54399,1,0.22,1.02082,-0.784926
300,5.54399,1,0.24,1.02085,-0.784898
300,5.54399,1,0.26,1.02082,-0.784925
300,5.54399,1,0.28,1.02085,-0.784896
300,5.54399,1,0.3,1.02082,-0.784924
300,5.54399,1,0.32,1.02085,-0.784896
300,5.54399,1,0.34,1.02082,-0.784925
300,5.54399,1,0.36,1.02085,-0.784897
300,5.54399,1,0.38,1.02082,-0.784926
300,5.54399,1,0.4,1.02084,-0.784897
300,5.54399,1,0.42,1.02081,-0.784927
300,5.54399,1,0.44,1.02083,-0.784899
300,5.54399,1,0.46,1.0208,-0.784928
300,5.54399,1,0.48,1.02083,-0.784899
300,5.54399,1,0.5,1.0208,-0.784929
300,5.54399,1,0.52,1.02082,-0.784903
300,5.54399,1,0.6,1.02084,-0.784878
300,5.54399,1,0.58,1.02079,-0.784933
300,5.54399,1,0.54,1.02079,-0.78493
300,5.54399,1,0.56,1.0208,-0.784917
400,7.39198,1,0.02,0.434565,1.21017
400,7.39198,1,0.04,0.434548,1.21019
400,7.39198,1,0.06,0.434604,1.21017
400,7.39198,1,0.08,0.434551,1.21022
400,7.39198,1,0.1,0.434631,1.2102
400,7.39198,1,0.12,0.434552,1.21026
400,7.39198,1,0.14,0.434705,1.21021
400,7.39198,1,0.16,0.434665,1.21025
400,7.39198,1,0.18,0.434774,1.21022
400,7.39198,1,0.2,0.434703,1.21028
400,7.39198,1,0.22,0.434826,1.21023
400,7.39198,1,0.24,0.434767,1.21028
400,7.39198,1,0.26,0.434863,1.21025
400,7.39198,1,0.28,0.43479,1.21029
400,7.39198,1,0.3,0.434875,1.21025
400,7.39198,1,0.32,0.434789,1.21029
400,7.39198,1,0.34,0.434862,1.21024
400,7.39198,1,0.36,0.434763,1.21028
400,7.39198,1,0.38,0.434825,1.21023
400,7.39198,1,0.4,0.434714,1.21027
400,7.39198,1,0.42,0.434768,1.21022
400,7.39198,1,0.44,0.434653,1.21025
400,7.39198,1,0.46,0.434703,1.21021
400,7.39198,1,0.48,0.434585,1.21024
400,7.39198,1,0.5,0.434638,1.21019
400,7.39198,1,0.52,0.434535,1.21022
400,7.39198,1,0.6,0.434409,1.21025
400,7.39198,1,0.58,0.43457,1.21017
400,7.39198,1,0.54,0.434591,1.21018
400,7.39198,1,0.56,0.434534,1.21019
500,9.23998,1,0.02,-1.28665,0.0126535
500,9.23998,1,0.04,-1.28633,0.0126778
500,9.23998,1,0.06,-1.2858,0.0128919
500,9.23998,1,0.08,-1.28513,0.0129074
500,9.23998,1,0.1,-1.28428,0.013231
500,9.23998,1,0.12,-1.28336,0.0132382
500,9.23998,1,0.14,-1.28229,0.0137557
500,9.23998,1,0.16,-1.28127,0.01386
500,9.23998,1,0.18,-1.28022,0.0142827
500,9.23998,1,0.2,-1.2793,0.0143051
500,9.23998,1,0.22,-1.27843,0.0147246
500,9.23998,1,0.24,-1.27776,0.0147255
500,9.23998,1,0.26,-1.27721,0.0150282
500,9.23998,1,0.28,-1.27691,0.0149308
500,9.23998,1,0.3,-1.27678,0.0151329
500,9.23998,1,0.32,-1.27691,0.0149283
500,9.23998,1,0.34,-1.27721,0.0150263
500,9.23998,1,0.36,-1.27776,0.0147176
500,9.23998,1,0.38,-1.27843,0.0147218
500,9.23998,1,0.4,-1.2793,0.0143291
500,9.23998,1,0.42,-1.28022,0.0142705
500,9.23998,1,0.44,-1.28127,0.0138346
500,9.23998,1,0.46,-1.28229,0.0137507
500,9.23998,1,0.48,-1.28334,0.013311
500,9.23998,1,0.5,-1.28426,0.0132498
500,9.23998,1,0.52,-1.28513,0.0128725
500,9.23998,1,0.6,-1.28681,0.0122996
500,9.23998,1,0.58,-1.28664,0.0126648
500,9.23998,1,0.54,-1.2858,0.0128648
500,9.23998,1,0.56,-1.28633,0.0126479
600,11.088,1,0.02,-0.35625,-0.840676
600,11.088,1,0.04,-0.31528,-0.865036
600,11.088,1,0.06,-0.248927,-0.904105
600,11.088,1,0.08,-0.159891,-0.956563
600,11.088,1,0.1,-0.0526009,-1.01984
600,11.088,1,0.12,0.0690139,-1.09147
600,11.088,1,0.14,0.198498,-1.16806
600,11.088,1,0.16,0.331483,-1.24633
600,11.088,1,0.18,0.461063,-1.32302
600,11.088,1,0.2,0.582768,-1.39445
600,11.088,1,0.22,0.689757,-1.45797
600,11.088,1,0.24,0.778986,-1.51017
600,11.088,1,0.26,0.844961,-1.54954
600,11.088,1,0.28,0.886433,-1.57352
600,11.088,1,0.3,0.899859,-1.58194
600,11.088,1,0.32,0.886437,-1.57352
600,11.088,1,0.34,0.84496,-1.54954
600,11.088,1,0.36,0.779006,-1.51018
600,11.088,1,0.38,0.689754,-1.45795
600,11.088,1,0.4,0.582737,-1.39445
600,11.088,1,0.42,0.461082,-1.323
600,11.088,1,0.44,0.331549,-1.24634
600,11.088,1,0.46,0.198482,-1.16804
600,11.088,1,0.48,0.0688908,-1.09146
600,11.088,1,0.5,-0.052633,-1.01984
600,11.088,1,0.52,-0.159855,-0.956586
600,11.088,1,0.6,-0.369777,-0.832687
600,11.088,1,0.58,-0.356269,-0.840669
600,11.088,1,0.54,-0.248864,-0.904061
600,11.088,1,0.56,-0.315258,-0.865055
