f,k0,x,y,Re_U,Im_U
200,3.69599,1,0.6,-1.04322,-0.754876
200,3.69599,1,0.58,-1.04324,-0.754857
200,3.69599,1,0.56,-1.04323,-0.754862
200,3.69599,1,0.54,-1.04323,-0.754858
200,3.69599,1,0.52,-1.04323,-0.754866
200,3.69599,1,0.5,-1.04323,-0.754857
200,3.69599,1,0.48,-1.04323,-0.754865
200,3.69599,1,0.46,-1.04323,-0.754856
200,3.69599,1,0.44,-1.04323,-0.754865
200,3.69599,1,0.42,-1.04323,-0.754857
200,3.69599,1,0.4,-1.04322,-0.754872
200,3.69599,1,0.38,-1.04323,-0.754858
200,3.69599,1,0.36,-1.04322,-0.754868
200,3.69599,1,0.34,-1.04323,-0.754855
200,3.69599,1,0.32,-1.04322,-0.754865
200,3.69599,1,0.3,-1.04323,-0.754856
200,3.69599,1,0.28,-1.04322,-0.754867
200,3.69599,1,0.26,-1.04323,-0.754857
200,3.69599,1,0.24,-1.04322,-0.754867
200,3.69599,1,0.22,-1.04323,-0.754856
200,3.69599,1,0.2,-1.04322,-0.754868
200,3.69599,1,0.18,-1.04323,-0.754857
200,3.69599,1,0.16,-1.04322,-0.754868
200,3.69599,1,0.14,-1.04323,-0.754857
200,3.69599,1,0.12,-1.04323,-0.754866
200,3.69599,1,0.1,-1.04323,-0.754856
200,3.69599,1,0.08,-1.04323,-0.754868
200,3.69599,1,0.06,-1.04323,-0.754858
200,3.69599,1,0.04,-1.04323,-0.754864
200,3.69599,1,0.02,-1.04324,-0.754856
400,7.39198,1,0.6,0.322798,1.22318
400,7.39198,1,0.58,0.322969,1.22312
400,7.39198,1,0.56,0.322943,1.22314
400,7.39198,1,0.54,0.323012,1.22313
400,7.39198,1,0.52,0.322982,1.22317
400,7.39198,1,0.5,0.323113,1.22315
400,7.39198,1,0.48,0.323102,1.22318
400,7.39198,1,0.46,0.323237,1.22317
400,7.39198,1,0.44,0.323223,1.22321
400,7.39198,1,0.42,0.323357,1.2232
400,7.39198,1,0.4,0.323286,1.22327
400,7.39198,1,0.38,0.323457,1.22323
400,7.39198,1,0.36,0.323416,1.22327
400,7.39198,1,0.34,0.323557,1.22323
400,7.39198,1,0.32,0.323491,1.22327
400,7.39198,1,0.3,0.323573,1.22324
400,7.39198,1,0.28,0.323471,1.22328
400,7.39198,1,0.26,0.32354,1.22324
400,7.39198,1,0.24,0.323414,1.22327
400,7.39198,1,0.22,0.323467,1.22322
400,7.39198,1,0.2,0.323318,1.22325
400,7.39198,1,0.18,0.323356,1.2232
400,7.39198,1,0.16,0.323203,1.22322
400,7.39198,1,0.14,0.323233,1.22317
400,7.39198,1,0.12,0.323095,1.22319
400,7.39198,1,0.1,0.323117,1.22314
400,7.39198,1,0.08,0.322967,1.22317
400,7.39198,1,0.06,0.32301,1.22313
400,7.39198,1,0.04,0.322925,1.22314
400,7.39198,1,0.02,0.322974,1.22311
600,11.088,1,0.6,-0.786374,-1.12144
600,11.088,1,0.58,-0.76546,-1.12142
600,11.088,1,0.56,-0.70222,-1.1229
600,11.088,1,0.54,-0.600068,-1.12443
600,11.088,1,0.52,-0.46309,-1.1271
600,11.088,1,0.5,-0.297973,-1.12991
600,11.088,1,0.48,-0.111036,-1.13338
600,11.088,1,0.46,0.0886456,-1.13691
600,11.088,1,0.44,0.29331,-1.14058
600,11.088,1,0.42,0.492961,-1.14424
600,11.088,1,0.4,0.680129,-1.14746
600,11.088,1,0.38,0.845106,-1.15068
600,11.088,1,0.36,0.982142,-1.1528
600,11.088,1,0.34,1.08398,-1.15494
600,11.088,1,0.32,1.14746,-1.15573
600,11.088,1,0.3,1.16854,-1.1565
600,11.088,1,0.28,1.14753,-1.15576
600,11.088,1,0.26,1.08403,-1.15498
600,11.088,1,0.24,0.982173,-1.1528
600,11.088,1,0.22,0.845044,-1.15063
600,11.088,1,0.2,0.680038,-1.14742
600,11.088,1,0.18,0.492969,-1.14423
600,11.088,1,0.16,0.293356,-1.14057
600,11.088,1,0.14,0.0886565,-1.13689
600,11.088,1,0.12,-0.111043,-1.13338
600,11.088,1,0.1,-0.297987,-1.12988
600,11.088,1,0.08,-0.463076,-1.12713
600,11.088,1,0.06,-0.600072,-1.12437
600,11.088,1,0.04,-0.702203,-1.12291
600,11.088,1,0.02,-0.7655,-1.12139
700,12.936,1,0.6,1.60656,1.08213
700,12.936,1,0.58,1.59304,1.06858
700,12.936,1,0.56,1.55077,1.03374
700,12.936,1,0.54,1.48341,0.975434
700,12.936,1,0.52,1.39239,0.898986
700,12.936,1,0.5,1.28312,0.805067
700,12.936,1,0.48,1.15913,0.700244
700,12.936,1,0.46,1.02685,0.587007
700,12.936,1,0.44,0.891277,0.472026
700,12.936,1,0.42,0.758859,0.359022
700,12.936,1,0.4,0.635123,0.254058
700,12.936,1,0.38,0.525331,0.160565
700,12.936,1,0.36,0.434992,0.0833073
700,12.936,1,0.34,0.367017,0.0256439
700,12.936,1,0.32,0.325455,-0.0101104
700,12.936,1,0.3,0.31096,-0.0219108
700,12.936,1,0.28,0.325418,-0.010002
700,12.936,1,0.26,0.366987,0.0257792
700,12.936,1,0.24,0.434956,0.0833
700,12.936,1,0.22,0.525383,0.160471
700,12.936,1,0.2,0.635096,0.253829
700,12.936,1,0.18,0.758793,0.35899
700,12.936,1,0.16,0.891259,0.472093
700,12.936,1,0.14,1.02683,0.586965
700,12.936,1,0.12,1.15913,0.700269
700,12.936,1,0.1,1.2831,0.804977
700,12.936,1,0.08,1.39233,0.89909
700,12.936,1,0.06,1.48342,0.975329
700,12.936,1,0.04,1.55072,1.03386
700,12.936,1,0.02,1.59302,1.0685
1000,18.48,1,0.6,0.0317954,-0.0338328
1000,18.48,1,0.58,0.0499138,-0.0405504
1000,18.48,1,0.56,0.10248,-0.062738
1000,18.48,1,0.54,0.188874,-0.0964628
1000,18.48,1,0.52,0.303796,-0.142891
1000,18.48,1,0.5,0.44258,-0.19866
1000,18.48,1,0.48,0.599684,-0.261545
1000,18.48,1,0.46,0.767255,-0.329396
1000,18.48,1,0.44,0.939676,-0.397691
1000,18.48,1,0.42,1.1069,-0.466122
1000,18.48,1,0.4,1.26525,-0.527068
1000,18.48,1,0.38,1.40274,-0.585234
1000,18.48,1,0.36,1.5192,-0.628995
1000,18.48,1,0.34,1.60328,-0.665948
1000,18.48,1,0.32,1.65786,-0.684786
1000,18.48,1,0.3,1.67429,-0.694439
1000,18.48,1,0.28,1.6581,-0.684679
1000,18.48,1,0.26,1.60333,-0.665919
1000,18.48,1,0.24,1.51911,-0.629072
1000,18.48,1,0.22,1.40252,-0.585241
1000,18.48,1,0.2,1.26501,-0.527548
1000,18.48,1,0.18,1.10681,-0.466241
1000,18.48,1,0.16,0.939711,-0.397582
1000,18.48,1,0.14,0.767228,-0.329534
1000,18.48,1,0.12,0.599518,-0.261638
1000,18.48,1,0.1,0.44244,-0.198821
1000,18.48,1,0.08,0.303572,-0.143059
1000,18.48,1,0.06,0.188766,-0.0964135
1000,18.48,1,0.04,0.10217,-0.0627391
1000,18.48,1,0.02,0.0496933,-0.040621
1200,22.1759,1,0.6,-1.39197,-0.88264
1200,22.1759,1,0.58,-1.32954,-0.832167
1200,22.1759,1,0.56,-1.15123,-0.70641
1200,22.1759,1,0.54,-0.894851,-0.516175
1200,22.1759,1,0.52,-0.610234,-0.300524
1200,22.1759,1,0.5,-0.35707,-0.0927825
1200,22.1759,1,0.48,-0.190897,0.0694204
1200,22.1759,1,0.46,-0.152206,0.157162
1200,22.1759,1,0.44,-0.264254,0.157078
1200,22.1759,1,0.42,-0.518563,0.0676818
1200,22.1759,1,0.4,-0.888928,-0.0974811
1200,22.1759,1,0.38,-1.32165,-0.302202
1200,22.1759,1,0.36,-1.75463,-0.523481
1200,22.1759,1,0.34,-2.12282,-0.707593
1200,22.1759,1,0.32,-2.36833,-0.842221
1200,22.1759,1,0.3,-2.4559,-0.881177
1200,22.1759,1,0.28,-2.36872,-0.842519
1200,22.1759,1,0.26,-2.12281,-0.707439
1200,22.1759,1,0.24,-1.75472,-0.523403
1200,22.1759,1,0.22,-1.32116,-0.301475
1200,22.1759,1,0.2,-0.889104,-0.0959477
1200,22.1759,1,0.18,-0.518287,0.0681119
1200,22.1759,1,0.16,-0.264219,0.157521
1200,22.1759,1,0.14,-0.151906,0.15761
1200,22.1759,1,0.12,-0.190844,0.0701263
1200,22.1759,1,0.1,-0.356658,-0.0920323
1200,22.1759,1,0.08,-0.610115,-0.300178
1200,22.1759,1,0.06,-0.894671,-0.515618
1200,22.1759,1,0.04,-1.15113,-0.706524
1200,22.1759,1,0.02,-1.32945,-0.831842
1400,25.8719,1,0.6,1.28581,-1.25237
1400,25.8719,1,0.58,1.19727,-1.1602
1400,25.8719,1,0.56,0.991048,-0.880525
1400,25.8719,1,0.54,0.670693,-0.464093
1400,25.8719,1,0.52,0.314842,0.0370065
1400,25.8719,1,0.5,-0.0213042,0.551141
1400,25.8719,1,0.48,-0.277474,1.01109
1400,25.8719,1,0.46,-0.393678,1.36757
1400,25.8719,1,0.44,-0.364165,1.57806
1400,25.8719,1,0.42,-0.165991,1.64197
1400,25.8719,1,0.4,0.1436,1.57036
1400,25.8719,1,0.38,0.545045,1.3969
1400,25.8719,1,0.36,0.945613,1.18648
1400,25.8719,1,0.34,1.29879,0.973552
1400,25.8719,1,0.32,1.53504,0.836501
1400,25.8719,1,0.3,1.61763,0.774605
1400,25.8719,1,0.28,1.53486,0.836885
1400,25.8719,1,0.26,1.29827,0.973818
1400,25.8719,1,0.24,0.946292,1.18591
1400,25.8719,1,0.22,0.544638,1.39645
1400,25.8719,1,0.2,0.144612,1.56864
1400,25.8719,1,0.18,-0.165079,1.6421
1400,25.8719,1,0.16,-0.364628,1.57808
1400,25.8719,1,0.14,-0.39219,1.36829
1400,25.8719,1,0.12,-0.276852,1.01033
1400,25.8719,1,0.1,-0.0205616,0.551153
1400,25.8719,1,0.08,0.31576,0.0358491
1400,25.8719,1,0.06,0.670099,-0.465578
1400,25.8719,1,0.04,0.991919,-0.883243
1400,25.8719,1,0.02,1.19706,-1.1625
1500,27.7199,1,0.6,-0.806727,1.80464
1500,27.7199,1,0.58,-0.719923,1.73087
1500,27.7199,1,0.56,-0.532967,1.51812
1500,27.7199,1,0.54,-0.246026,1.20086
1500,27.7199,1,0.52,0.0552377,0.825308
1500,27.7199,1,0.5,0.319258,0.439514
1500,27.7199,1,0.48,0.475036,0.108424
1500,27.7199,1,0.46,0.471942,-0.14275
1500,27.7199,1,0.44,0.296722,-0.267808
1500,27.7199,1,0.42,-0.0548884,-0.280589
1500,27.7199,1,0.4,-0.533432,-0.183364
1500,27.7199,1,0.38,-1.08561,-0.00743359
1500,27.7199,1,0.36,-1.6312,0.187857
1500,27.7199,1,0.34,-2.08626,0.385972
1500,27.7199,1,0.32,-2.39867,0.503849
1500,27.7199,1,0.3,-2.49913,0.565231
1500,27.7199,1,0.28,-2.39968,0.503707
1500,27.7199,1,0.26,-2.08635,0.385747
1500,27.7199,1,0.24,-1.63213,0.187916
1500,27.7199,1,0.22,-1.08483,-0.00802558
1500,27.7199,1,0.2,-0.533489,-0.182211
1500,27.7199,1,0.18,-0.0554706,-0.281335
1500,27.7199,1,0.16,0.29784,-0.267539
1500,27.7199,1,0.14,0.47197,-0.14335
1500,27.7199,1,0.12,0.476404,0.109578
1500,27.7199,1,0.1,0.320627,0.439183
1500,27.7199,1,0.08,0.0561411,0.826722
1500,27.7199,1,0.06,-0.243697,1.20184
1500,27.7199,1,0.04,-0.532474,1.52105
1500,27.7199,1,0.02,-0.717923,1.73283
