f,k0,x,y,Re_U,Im_U
30,0.554399,-1,0.6,1.05176,-0.614881
30,0.554399,-1,0.58,1.05176,-0.614881
30,0.554399,-1,0.56,1.05176,-0.614881
30,0.554399,-1,0.54,1.05176,-0.614881
30,0.554399,-1,0.52,1.05176,-0.614881
30,0.554399,-1,0.5,1.05176,-0.614881
30,0.554399,-1,0.48,1.05176,-0.614881
30,0.554399,-1,0.46,1.05176,-0.614881
30,0.554399,-1,0.44,1.05176,-0.614881
30,0.554399,-1,0.42,1.05176,-0.614881
30,0.554399,-1,0.4,1.05176,-0.614881
30,0.554399,-1,0.38,1.05176,-0.614881
30,0.554399,-1,0.36,1.05176,-0.614881
30,0.554399,-1,0.34,1.05176,-0.614881
30,0.554399,-1,0.32,1.05176,-0.614881
30,0.554399,-1,0.3,1.05176,-0.614881
30,0.554399,-1,0.28,1.05176,-0.614881
30,0.554399,-1,0.26,1.05176,-0.614881
30,0.554399,-1,0.24,1.05176,-0.614881
30,0.554399,-1,0.22,1.05176,-0.614881
30,0.554399,-1,0.2,1.05176,-0.614881
30,0.554399,-1,0.18,1.05176,-0.614881
30,0.554399,-1,0.16,1.05176,-0.614881
30,0.554399,-1,0.14,1.05176,-0.614881
30,0.554399,-1,0.12,1.05176,-0.614881
30,0.554399,-1,0.1,1.05176,-0.614881
30,0.554399,-1,0.08,1.05176,-0.614881
30,0.554399,-1,0.06,1.05176,-0.614881
30,0.554399,-1,0.04,1.05176,-0.614881
30,0.554399,-1,0.02,1.05176,-0.614881
30,0.554399,-1,0,1.05176,-0.614881
50,0.923998,-1,0.6,0.667797,-0.963507
50,0.923998,-1,0.58,0.667798,-0.963507
50,0.923998,-1,0.56,0.667798,-0.963507
50,0.923998,-1,0.54,0.667798,-0.963507
50,0.923998,-1,0.52,0.667797,-0.963507
50,0.923998,-1,0.5,0.667798,-0.963507
50,0.923998,-1,0.48,0.667797,-0.963507
50,0.923998,-1,0.46,0.667798,-0.963507
50,0.923998,-1,0.44,0.667797,-0.963507
50,0.923998,-1,0.42,0.667798,-0.963507
50,0.923998,-1,0.4,0.667797,-0.963507
50,0.923998,-1,0.38,0.667798,-0.963507
50,0.923998,-1,0.36,0.667797,-0.963507
50,0.923998,-1,0.34,0.667798,-0.963507
50,0.923998,-1,0.32,0.667797,-0.963507
50,0.923998,-1,0.3,0.667798,-0.963507
50,0.923998,-1,0.28,0.667797,-0.963507
50,0.923998,-1,0.26,0.667798,-0.963507
50,0.923998,-1,0.24,0.667797,-0.963507
50,0.923998,-1,0.22,0.667798,-0.963507
50,0.923998,-1,0.2,0.667797,-0.963507
50,0.923998,-1,0.18,0.667798,-0.963507
50,0.923998,-1,0.16,0.667797,-0.963507
50,0.923998,-1,0.14,0.667798,-0.963507
50,0.923998,-1,0.12,0.667797,-0.963507
50,0.923998,-1,0.1,0.667798,-0.963507
