f,k0,x,y,Re_U,Im_U
300,5.54399,-1,0.58,0.925292,2.60533
300,5.54399,-1,0.6,0.930577,2.61905
300,5.54399,-1,0.56,0.909698,2.56437
300,5.54399,-1,0.54,0.88376,2.49658
300,5.54399,-1,0.52,0.847958,2.40273
300,5.54399,-1,0.5,0.802511,2.28382
300,5.54399,-1,0.48,0.748075,2.14118
300,5.54399,-1,0.46,0.685098,1.97636
300,5.54399,-1,0.44,0.614406,1.79117
300,5.54399,-1,0.42,0.53665,1.58763
300,5.54399,-1,0.4,0.452793,1.36798
300,5.54399,-1,0.38,0.36366,1.13463
300,5.54399,-1,0.36,0.270302,0.890115
300,5.54399,-1,0.34,0.173688,0.637141
300,5.54399,-1,0.32,0.0749105,0.378462
300,5.54399,-1,0.3,-0.0249612,0.116925
300,5.54399,-1,0.28,-0.124844,-0.144622
300,5.54399,-1,0.26,-0.223607,-0.403292
300,5.54399,-1,0.24,-0.320232,-0.65627
300,5.54399,-1,0.22,-0.413568,-0.900778
300,5.54399,-1,0.2,-0.502715,-1.13414
300,5.54399,-1,0.18,-0.586549,-1.35378
300,5.54399,-1,0.16,-0.664303,-1.55732
300,5.54399,-1,0.14,-0.734977,-1.7425
300,5.54399,-1,0.12,-0.797955,-1.90733
300,5.54399,-1,0.1,-0.852373,-2.04996
300,5.54399,-1,0.08,-0.897823,-2.16887
300,5.54399,-1,0.06,-0.93361,-2.26272
300,5.54399,-1,0.02,-0.975136,-2.37147
300,5.54399,-1,0.04,-0.959549,-2.33051
300,5.54399,-1,0,-0.980435,-2.38519
400,7.39198,-1,0.58,-0.932916,-1.68469
400,7.39198,-1,0.6,-0.938526,-1.69384
400,7.39198,-1,0.56,-0.917286,-1.65686
400,7.39198,-1,0.54,-0.890797,-1.61107
400,7.39198,-1,0.52,-0.854647,-1.54745
400,7.39198,-1,0.5,-0.808381,-1.46707
400,7.39198,-1,0.48,-0.753309,-1.37043
400,7.39198,-1,0.46,-0.68927,-1.25896
400,7.39198,-1,0.44,-0.617678,-1.13354
400,7.39198,-1,0.42,-0.538644,-0.995867
400,7.39198,-1,0.4,-0.453657,-0.847128
400,7.39198,-1,0.38,-0.363096,-0.68927
400,7.39198,-1,0.36,-0.26841,-0.523735
400,7.39198,-1,0.34,-0.170279,-0.352574
400,7.39198,-1,0.32,-0.0700355,-0.177492
400,7.39198,-1,0.3,0.031381,-0.000516827
400,7.39198,-1,0.28,0.132813,0.176466
400,7.39198,-1,0.26,0.233078,0.351529
400,7.39198,-1,0.24,0.331277,0.522661
400,7.39198,-1,0.22,0.425993,0.688199
400,7.39198,-1,0.2,0.51669,0.846073
400,7.39198,-1,0.18,0.601724,0.994726
400,7.39198,-1,0.16,0.680839,1.13237
400,7.39198,-1,0.14,0.752512,1.25775
400,7.39198,-1,0.12,0.816659,1.36919
400,7.39198,-1,0.1,0.871796,1.46579
400,7.39198,-1,0.08,0.918153,1.54615
400,7.39198,-1,0.06,0.954351,1.60975
400,7.39198,-1,0.02,0.996554,1.68333
400,7.39198,-1,0.04,0.980894,1.65552
400,7.39198,-1,0,1.00217,1.69249
500,9.23998,-1,0.58,-0.580205,1.7432
500,9.23998,-1,0.6,-0.582167,1.75238
500,9.23998,-1,0.56,-0.572069,1.71643
500,9.23998,-1,0.54,-0.559722,1.6718
500,9.23998,-1,0.52,-0.541596,1.61027
500,9.23998,-1,0.5,-0.519497,1.53207
500,9.23998,-1,0.48,-0.492028,1.43847
500,9.23998,-1,0.46,-0.460958,1.33009
500,9.23998,-1,0.44,-0.42515,1.20848
500,9.23998,-1,0.42,-0.386283,1.07463
500,9.23998,-1,0.4,-0.343464,0.930268
500,9.23998,-1,0.38,-0.298263,0.776777
500,9.23998,-1,0.36,-0.250151,0.615962
500,9.23998,-1,0.34,-0.200382,0.449501
500,9.23998,-1,0.32,-0.148942,0.279264
500,9.23998,-1,0.3,-0.0966838,0.107097
500,9.23998,-1,0.28,-0.0441062,-0.0651535
500,9.23998,-1,0.26,0.0083984,-0.235511
500,9.23998,-1,0.24,0.0597347,-0.402241
500,9.23998,-1,0.22,0.110202,-0.563361
500,9.23998,-1,0.2,0.158049,-0.717386
500,9.23998,-1,0.18,0.203949,-0.862047
500,9.23998,-1,0.16,0.246052,-0.996375
500,9.23998,-1,0.14,0.285245,-1.11845
500,9.23998,-1,0.12,0.319509,-1.22732
500,9.23998,-1,0.1,0.350098,-1.32134
500,9.23998,-1,0.08,0.374832,-1.39996
500,9.23998,-1,0.06,0.395256,-1.46178
500,9.23998,-1,0.02,0.418436,-1.53358
500,9.23998,-1,0.04,0.409239,-1.50667
500,9.23998,-1,0,0.42068,-1.54285
600,11.088,-1,0.58,1.63153,-0.654388
600,11.088,-1,0.6,1.63491,-0.657161
600,11.088,-1,0.56,1.62047,-0.649788
600,11.088,-1,0.54,1.60179,-0.640295
600,11.088,-1,0.52,1.57393,-0.628232
600,11.088,-1,0.5,1.53627,-0.610901
600,11.088,-1,0.48,1.48679,-0.590398
600,11.088,-1,0.46,1.42446,-0.564277
600,11.088,-1,0.44,1.34725,-0.534236
600,11.088,-1,0.42,1.25409,-0.498286
600,11.088,-1,0.4,1.14342,-0.457823
600,11.088,-1,0.38,1.01467,-0.411516
600,11.088,-1,0.36,0.867125,-0.360366
600,11.088,-1,0.34,0.701037,-0.303958
600,11.088,-1,0.32,0.517053,-0.242911
600,11.088,-1,0.3,0.316376,-0.177774
600,11.088,-1,0.28,0.101176,-0.108823
600,11.088,-1,0.26,-0.126284,-0.037564
600,11.088,-1,0.24,-0.362299,0.0360994
600,11.088,-1,0.22,-0.60392,0.109663
600,11.088,-1,0.2,-0.846234,0.183702
600,11.088,-1,0.18,-1.08495,0.254957
600,11.088,-1,0.16,-1.31522,0.324101
600,11.088,-1,0.14,-1.53276,0.388069
600,11.088,-1,0.12,-1.73228,0.447356
600,11.088,-1,0.1,-1.90992,0.498919
600,11.088,-1,0.08,-2.06107,0.543581
600,11.088,-1,0.06,-2.18277,0.578492
600,11.088,-1,0.02,-2.32598,0.620051
600,11.088,-1,0.04,-2.27166,0.604733
600,11.088,-1,0,-2.34406,0.626073
700,12.936,-1,0.58,-1.3111,-1.02438
700,12.936,-1,0.6,-1.31839,-1.02641
700,12.936,-1,0.56,-1.29447,-1.0145
700,12.936,-1,0.54,-1.26466,-0.999373
700,12.936,-1,0.52,-1.22487,-0.97623
700,12.936,-1,0.5,-1.17194,-0.947089
700,12.936,-1,0.48,-1.10914,-0.908968
700,12.936,-1,0.46,-1.03376,-0.863583
700,12.936,-1,0.44,-0.948708,-0.80829
700,12.936,-1,0.42,-0.851949,-0.74453
700,12.936,-1,0.4,-0.746106,-0.670224
700,12.936,-1,0.38,-0.630101,-0.586748
700,12.936,-1,0.36,-0.506045,-0.492872
700,12.936,-1,0.34,-0.374068,-0.389862
700,12.936,-1,0.32,-0.235795,-0.27775
700,12.936,-1,0.3,-0.0925205,-0.15761
700,12.936,-1,0.28,0.0546307,-0.030833
700,12.936,-1,0.26,0.203199,0.10164
700,12.936,-1,0.24,0.352645,0.236996
700,12.936,-1,0.22,0.499336,0.374876
700,12.936,-1,0.2,0.64354,0.511193
700,12.936,-1,0.18,0.7803,0.645108
700,12.936,-1,0.16,0.910602,0.772677
700,12.936,-1,0.14,1.02994,0.893302
700,12.936,-1,0.12,1.13888,1.00256
700,12.936,-1,0.1,1.23304,1.10033
700,12.936,-1,0.08,1.31362,1.18235
700,12.936,-1,0.06,1.37647,1.24911
700,12.936,-1,0.02,1.45065,1.32693
700,12.936,-1,0.04,1.42323,1.29703
700,12.936,-1,0,1.46125,1.33597
800,14.784,-1,0.58,-0.41251,1.53463
800,14.784,-1,0.6,-0.413332,1.54098
800,14.784,-1,0.56,-0.401804,1.51991
800,14.784,-1,0.54,-0.387379,1.49367
800,14.784,-1,0.52,-0.364554,1.45771
800,14.784,-1,0.5,-0.338814,1.40901
800,14.784,-1,0.48,-0.30553,1.34948
800,14.784,-1,0.46,-0.269827,1.27598
800,14.784,-1,0.44,-0.228106,1.19016
800,14.784,-1,0.42,-0.184711,1.08901
800,14.784,-1,0.4,-0.137086,0.974251
800,14.784,-1,0.38,-0.088629,0.843494
800,14.784,-1,0.36,-0.038012,0.698425
800,14.784,-1,0.34,0.0127045,0.537821
800,14.784,-1,0.32,0.0633927,0.363577
800,14.784,-1,0.3,0.113567,0.175801
800,14.784,-1,0.28,0.161724,-0.023278
800,14.784,-1,0.26,0.20884,-0.231921
800,14.784,-1,0.24,0.252119,-0.447578
800,14.784,-1,0.22,0.29434,-0.666874
800,14.784,-1,0.2,0.331556,-0.887378
800,14.784,-1,0.18,0.36702,-1.10283
800,14.784,-1,0.16,0.397202,-1.31197
800,14.784,-1,0.14,0.425332,-1.50846
800,14.784,-1,0.12,0.448014,-1.69019
800,14.784,-1,0.1,0.468682,-1.85069
800,14.784,-1,0.08,0.483923,-1.98895
800,14.784,-1,0.06,0.497206,-2.0988
800,14.784,-1,0.02,0.511349,-2.22917
800,14.784,-1,0.04,0.505459,-2.18045
800,14.784,-1,0,0.511763,-2.24717
900,16.632,-1,0.58,1.53733,-0.200197
900,16.632,-1,0.6,1.54443,-0.20935
900,16.632,-1,0.56,1.51807,-0.186154
900,16.632,-1,0.54,1.48537,-0.15922
900,16.632,-1,0.52,1.44032,-0.128339
900,16.632,-1,0.5,1.38228,-0.0878843
900,16.632,-1,0.48,1.31219,-0.0481079
900,16.632,-1,0.46,1.22982,-0.00435025
900,16.632,-1,0.44,1.13579,0.0343801
900,16.632,-1,0.42,1.03034,0.0720644
900,16.632,-1,0.4,0.91378,0.101716
900,16.632,-1,0.38,0.786981,0.126973
900,16.632,-1,0.36,0.649923,0.143829
900,16.632,-1,0.34,0.504066,0.155209
900,16.632,-1,0.32,0.349597,0.160514
900,16.632,-1,0.3,0.188282,0.161445
900,16.632,-1,0.28,0.0207785,0.160449
900,16.632,-1,0.26,-0.150696,0.157349
900,16.632,-1,0.24,-0.324855,0.157206
900,16.632,-1,0.22,-0.499251,0.156411
900,16.632,-1,0.2,-0.672143,0.162083
900,16.632,-1,0.18,-0.839209,0.16823
900,16.632,-1,0.16,-0.99964,0.181683
900,16.632,-1,0.14,-1.14965,0.195264
900,16.632,-1,0.12,-1.28708,0.214768
900,16.632,-1,0.1,-1.40833,0.231592
900,16.632,-1,0.08,-1.51186,0.251783
900,16.632,-1,0.06,-1.59436,0.266008
900,16.632,-1,0.02,-1.69166,0.286763
900,16.632,-1,0.04,-1.65508,0.280126
900,16.632,-1,0,-1.70475,0.292919
1000,18.48,-1,0.58,-0.675784,-1.73516
1000,18.48,-1,0.6,-0.682758,-1.74504
1000,18.48,-1,0.56,-0.668558,-1.70261
1000,18.48,-1,0.54,-0.65244,-1.65049
1000,18.48,-1,0.52,-0.634588,-1.57766
1000,18.48,-1,0.5,-0.607546,-1.48801
1000,18.48,-1,0.48,-0.579946,-1.38073
1000,18.48,-1,0.46,-0.544432,-1.26005
1000,18.48,-1,0.44,-0.508752,-1.12577
1000,18.48,-1,0.42,-0.466,-0.981785
1000,18.48,-1,0.4,-0.422974,-0.828327
1000,18.48,-1,0.38,-0.37348,-0.668726
1000,18.48,-1,0.36,-0.322654,-0.503393
1000,18.48,-1,0.34,-0.265893,-0.334648
1000,18.48,-1,0.32,-0.206182,-0.1637
1000,18.48,-1,0.3,-0.141147,0.00860688
1000,18.48,-1,0.28,-0.071617,0.180118
1000,18.48,-1,0.26,0.00207635,0.351102
1000,18.48,-1,0.24,0.08133,0.518206
1000,18.48,-1,0.22,0.162013,0.683064
1000,18.48,-1,0.2,0.248001,0.841387
1000,18.48,-1,0.18,0.331497,0.992996
1000,18.48,-1,0.16,0.417959,1.13502
1000,18.48,-1,0.14,0.498454,1.26765
1000,18.48,-1,0.12,0.577975,1.38669
1000,18.48,-1,0.1,0.646296,1.49232
1000,18.48,-1,0.08,0.709727,1.58078
1000,18.48,-1,0.06,0.757356,1.6522
1000,18.48,-1,0.02,0.816873,1.7354
1000,18.48,-1,0.04,0.795951,1.70375
1000,18.48,-1,0,0.828592,1.74553
1100,20.328,-1,0.58,-1.32678,1.32002
1100,20.328,-1,0.6,-1.33144,1.33622
1100,20.328,-1,0.56,-1.30473,1.28895
1100,20.328,-1,0.54,-1.27098,1.23385
1100,20.328,-1,0.52,-1.2214,1.16549
1100,20.328,-1,0.5,-1.16213,1.07807
1100,20.328,-1,0.48,-1.08772,0.984818
1100,20.328,-1,0.46,-1.00499,0.880884
1100,20.328,-1,0.44,-0.908685,0.778038
1100,20.328,-1,0.42,-0.805698,0.671686
1100,20.328,-1,0.4,-0.691131,0.57112
1100,20.328,-1,0.38,-0.571642,0.471466
1100,20.328,-1,0.36,-0.443355,0.378251
1100,20.328,-1,0.34,-0.311584,0.28673
