f,k0,x,y,Re_U,Im_U
30,0.554399,-1,0.02,1.09203,-0.670751
30,0.554399,-1,0.04,1.09203,-0.670751
30,0.554399,-1,0.06,1.09203,-0.670751
30,0.554399,-1,0.08,1.09203,-0.670751
30,0.554399,-1,0.1,1.09203,-0.670751
30,0.554399,-1,0.12,1.09203,-0.670751
30,0.554399,-1,0.14,1.09203,-0.670751
30,0.554399,-1,0.16,1.09203,-0.670751
30,0.554399,-1,0.18,1.09203,-0.670751
30,0.554399,-1,0.2,1.09203,-0.670751
30,0.554399,-1,0.22,1.09203,-0.670751
30,0.554399,-1,0.24,1.09203,-0.670751
30,0.554399,-1,0.26,1.09203,-0.670751
30,0.554399,-1,0.28,1.09203,-0.670751
30,0.554399,-1,0.3,1.09203,-0.670751
30,0.554399,-1,0.32,1.09203,-0.670751
30,0.554399,-1,0.34,1.09203,-0.670751
30,0.554399,-1,0.36,1.09203,-0.670751
30,0.554399,-1,0.38,1.09203,-0.670751
30,0.554399,-1,0.4,1.09203,-0.670751
30,0.554399,-1,0.42,1.09203,-0.670751
30,0.554399,-1,0.44,1.09203,-0.670751
30,0.554399,-1,0.46,1.09203,-0.670751
30,0.554399,-1,0.48,1.09203,-0.670751
30,0.554399,-1,0.5,1.09203,-0.670751
30,0.554399,-1,0.52,1.09203,-0.670751
30,0.554399,-1,0.54,1.09203,-0.670751
30,0.554399,-1,0.58,1.09203,-0.670751
30,0.554399,-1,0.56,1.09203,-0.670751
30,0.554399,-1,0.6,1.09203,-0.670751
50,0.923998,-1,0.02,0.763944,-1.01992
50,0.923998,-1,0.04,0.763944,-1.01992
50,0.923998,-1,0.06,0.763944,-1.01992
50,0.923998,-1,0.08,0.763944,-1.01992
50,0.923998,-1,0.1,0.763944,-1.01992
50,0.923998,-1,0.12,0.763944,-1.01992
50,0.923998,-1,0.14,0.763944,-1.01992
50,0.923998,-1,0.16,0.763944,-1.01992
50,0.923998,-1,0.18,0.763944,-1.01992
50,0.923998,-1,0.2,0.763944,-1.01992
50,0.923998,-1,0.22,0.763944,-1.01992
50,0.923998,-1,0.24,0.763944,-1.01992
50,0.923998,-1,0.26,0.763944,-1.01992
50,0.923998,-1,0.28,0.763944,-1.01992
50,0.923998,-1,0.3,0.763944,-1.01992
50,0.923998,-1,0.32,0.763944,-1.01992
50,0.923998,-1,0.34,0.763944,-1.01992
50,0.923998,-1,0.36,0.763944,-1.01992
50,0.923998,-1,0.38,0.763944,-1.01992
50,0.923998,-1,0.4,0.763944,-1.01992
50,0.923998,-1,0.42,0.763944,-1.01992
50,0.923998,-1,0.44,0.763944,-1.01992
50,0.923998,-1,0.46,0.763944,-1.01992
50,0.923998,-1,0.48,0.763944,-1.01992
50,0.923998,-1,0.5,0.763944,-1.01992
50,0.923998,-1,0.52,0.763944,-1.01992
50,0.923998,-1,0.54,0.763944,-1.01992
50,0.923998,-1,0.58,0.763944,-1.01992
50,0.923998,-1,0.56,0.763944,-1.01992
50,0.923998,-1,0.6,0.763944,-1.01992
80,1.4784,-1,0.02,0.0914595,-1.28353
80,1.4784,-1,0.04,0.091459,-1.28353
80,1.4784,-1,0.06,0.0914594,-1.28353
80,1.4784,-1,0.08,0.0914588,-1.28353
80,1.4784,-1,0.1,0.0914597,-1.28353
80,1.4784,-1,0.12,0.0914588,-1.28353
80,1.4784,-1,0.14,0.0914596,-1.28353
80,1.4784,-1,0.16,0.0914588,-1.28353
80,1.4784,-1,0.18,0.0914599,-1.28353
80,1.4784,-1,0.2,0.0914588,-1.28353
80,1.4784,-1,0.22,0.0914598,-1.28353
80,1.4784,-1,0.24,0.0914588,-1.28353
80,1.4784,-1,0.26,0.09146,-1.28353
80,1.4784,-1,0.28,0.0914591,-1.28353
80,1.4784,-1,0.3,0.09146,-1.28353
80,1.4784,-1,0.32,0.0914592,-1.28353
80,1.4784,-1,0.34,0.0914599,-1.28353
80,1.4784,-1,0.36,0.0914591,-1.28353
80,1.4784,-1,0.38,0.0914598,-1.28353
80,1.4784,-1,0.4,0.091459,-1.28353
80,1.4784,-1,0.42,0.0914597,-1.28353
80,1.4784,-1,0.44,0.0914589,-1.28353
80,1.4784,-1,0.46,0.0914596,-1.28353
80,1.4784,-1,0.48,0.0914588,-1.28353
80,1.4784,-1,0.5,0.0914595,-1.28353
80,1.4784,-1,0.52,0.0914587,-1.28353
80,1.4784,-1,0.54,0.0914594,-1.28353
80,1.4784,-1,0.58,0.0914595,-1.28353
80,1.4784,-1,0.56,0.091459,-1.28353
80,1.4784,-1,0.6,0.0914581,-1.28353
100,1.848,-1,0.02,-0.386182,-1.25204
100,1.848,-1,0.04,-0.386183,-1.25204
100,1.848,-1,0.06,-0.386183,-1.25204
100,1.848,-1,0.08,-0.386184,-1.25204
100,1.848,-1,0.1,-0.386182,-1.25204
100,1.848,-1,0.12,-0.386184,-1.25204
100,1.848,-1,0.14,-0.386182,-1.25204
100,1.848,-1,0.16,-0.386184,-1.25204
100,1.848,-1,0.18,-0.386182,-1.25204
100,1.848,-1,0.2,-0.386184,-1.25204
100,1.848,-1,0.22,-0.386182,-1.25204
100,1.848,-1,0.24,-0.386184,-1.25204
100,1.848,-1,0.26,-0.386182,-1.25204
100,1.848,-1,0.28,-0.386183,-1.25204
100,1.848,-1,0.3,-0.386182,-1.25204
100,1.848,-1,0.32,-0.386183,-1.25204
100,1.848,-1,0.34,-0.386182,-1.25204
100,1.848,-1,0.36,-0.386183,-1.25204
100,1.848,-1,0.38,-0.386182,-1.25204
100,1.848,-1,0.4,-0.386183,-1.25204
100,1.848,-1,0.42,-0.386182,-1.25204
100,1.848,-1,0.44,-0.386184,-1.25204
100,1.848,-1,0.46,-0.386182,-1.25204
100,1.848,-1,0.48,-0.386184,-1.25204
100,1.848,-1,0.5,-0.386182,-1.25204
100,1.848,-1,0.52,-0.386184,-1.25204
100,1.848,-1,0.54,-0.386182,-1.25204
100,1.848,-1,0.58,-0.386182,-1.25204
100,1.848,-1,0.56,-0.386183,-1.25204
100,1.848,-1,0.6,-0.386185,-1.25204
200,3.69599,-1,0.02,-1.05992,0.625561
200,3.69599,-1,0.04,-1.05992,0.625568
200,3.69599,-1,0.06,-1.05992,0.625563
200,3.69599,-1,0.08,-1.05991,0.625572
200,3.69599,-1,0.1,-1.05992,0.62556
200,3.69599,-1,0.12,-1.05991,0.625573
200,3.69599,-1,0.14,-1.05992,0.625562
200,3.69599,-1,0.16,-1.05991,0.625575
200,3.69599,-1,0.18,-1.05992,0.625559
200,3.69599,-1,0.2,-1.05991,0.625576
200,3.69599,-1,0.22,-1.05991,0.625563
200,3.69599,-1,0.24,-1.05991,0.625578
200,3.69599,-1,0.26,-1.05992,0.625561
200,3.69599,-1,0.28,-1.05991,0.625573
200,3.69599,-1,0.3,-1.05991,0.625561
200,3.69599,-1,0.32,-1.05991,0.625572
200,3.69599,-1,0.34,-1.05991,0.625561
200,3.69599,-1,0.36,-1.05991,0.625572
200,3.69599,-1,0.38,-1.05992,0.625562
200,3.69599,-1,0.4,-1.05991,0.625573
200,3.69599,-1,0.42,-1.05992,0.625562
200,3.69599,-1,0.44,-1.05991,0.625573
200,3.69599,-1,0.46,-1.05992,0.625562
200,3.69599,-1,0.48,-1.05991,0.625573
200,3.69599,-1,0.5,-1.05992,0.625562
200,3.69599,-1,0.52,-1.05991,0.625573
200,3.69599,-1,0.54,-1.05992,0.625562
200,3.69599,-1,0.58,-1.05992,0.625561
200,3.69599,-1,0.56,-1.05992,0.625567
200,3.69599,-1,0.6,-1.05991,0.625581
300,5.54399,-1,0.02,1.01025,0.942861
300,5.54399,-1,0.04,1.01026,0.942845
300,5.54399,-1,0.06,1.01025,0.942857
300,5.54399,-1,0.08,1.01028,0.942835
300,5.54399,-1,0.1,1.01025,0.942862
300,5.54399,-1,0.12,1.01029,0.942832
300,5.54399,-1,0.14,1.01026,0.942857
300,5.54399,-1,0.16,1.0103,0.942828
300,5.54399,-1,0.18,1.01026,0.942864
300,5.54399,-1,0.2,1.01031,0.942827
300,5.54399,-1,0.22,1.01028,0.942856
300,5.54399,-1,0.24,1.01032,0.942823
300,5.54399,-1,0.26,1.01028,0.94286
300,5.54399,-1,0.28,1.01031,0.942832
300,5.54399,-1,0.3,1.01028,0.94286
300,5.54399,-1,0.32,1.01031,0.942833
300,5.54399,-1,0.34,1.01028,0.942858
300,5.54399,-1,0.36,1.01031,0.942833
300,5.54399,-1,0.38,1.01028,0.942858
300,5.54399,-1,0.4,1.0103,0.942831
300,5.54399,-1,0.42,1.01027,0.942858
300,5.54399,-1,0.44,1.0103,0.942832
300,5.54399,-1,0.46,1.01026,0.942859
300,5.54399,-1,0.48,1.01029,0.942833
300,5.54399,-1,0.5,1.01026,0.942859
300,5.54399,-1,0.52,1.01028,0.942833
300,5.54399,-1,0.54,1.01025,0.942859
300,5.54399,-1,0.58,1.01025,0.94286
300,5.54399,-1,0.56,1.01026,0.942846
300,5.54399,-1,0.6,1.0103,0.942814
400,7.39198,-1,0.02,0.467741,-1.11698
400,7.39198,-1,0.04,0.467698,-1.11702
400,7.39198,-1,0.06,0.467755,-1.11699
400,7.39198,-1,0.08,0.467705,-1.11704
400,7.39198,-1,0.1,0.467822,-1.11697
400,7.39198,-1,0.12,0.467752,-1.11705
400,7.39198,-1,0.14,0.467867,-1.11699
400,7.39198,-1,0.16,0.467805,-1.11706
400,7.39198,-1,0.18,0.467956,-1.11697
400,7.39198,-1,0.2,0.467863,-1.11707
400,7.39198,-1,0.22,0.467987,-1.117
400,7.39198,-1,0.24,0.467899,-1.11708
400,7.39198,-1,0.26,0.46804,-1.11699
400,7.39198,-1,0.28,0.467955,-1.11706
400,7.39198,-1,0.3,0.468052,-1.11699
400,7.39198,-1,0.32,0.46796,-1.11705
400,7.39198,-1,0.34,0.468033,-1.11699
400,7.39198,-1,0.36,0.467932,-1.11705
400,7.39198,-1,0.38,0.467992,-1.11699
400,7.39198,-1,0.4,0.467878,-1.11705
400,7.39198,-1,0.42,0.467936,-1.11699
400,7.39198,-1,0.44,0.467817,-1.11705
