f,k0,x,y,Re_U,Im_U
30,0.554399,1,0.58,1.05141,0.744922
30,0.554399,1,0.56,1.05141,0.744922
30,0.554399,1,0.54,1.05141,0.744922
30,0.554399,1,0.52,1.05141,0.744922
30,0.554399,1,0.5,1.05141,0.744922
30,0.554399,1,0.48,1.05141,0.744922
30,0.554399,1,0.46,1.05141,0.744922
30,0.554399,1,0.44,1.05141,0.744922
30,0.554399,1,0.42,1.05141,0.744922
30,0.554399,1,0.4,1.05141,0.744922
30,0.554399,1,0.38,1.05141,0.744922
30,0.554399,1,0.36,1.05141,0.744922
30,0.554399,1,0.34,1.05141,0.744922
30,0.554399,1,0.32,1.05141,0.744922
30,0.554399,1,0.3,1.05141,0.744922
30,0.554399,1,0.28,1.05141,0.744922
30,0.554399,1,0.26,1.05141,0.744922
30,0.554399,1,0.24,1.05141,0.744922
30,0.554399,1,0.22,1.05141,0.744922
30,0.554399,1,0.18,1.05141,0.744922
30,0.554399,1,0.2,1.05141,0.744922
30,0.554399,1,0.16,1.05141,0.744922
30,0.554399,1,0.14,1.05141,0.744922
30,0.554399,1,0.1,1.05141,0.744922
30,0.554399,1,0.12,1.05141,0.744922
30,0.554399,1,0.08,1.05141,0.744922
30,0.554399,1,0.06,1.05141,0.744922
30,0.554399,1,0.02,1.05141,0.744922
30,0.554399,1,0.04,1.05141,0.744922
30,0.554399,1,0,1.05141,0.744922
50,0.923998,1,0.58,0.665355,1.0988
50,0.923998,1,0.56,0.665355,1.0988
50,0.923998,1,0.54,0.665355,1.0988
50,0.923998,1,0.52,0.665355,1.0988
50,0.923998,1,0.5,0.665355,1.0988
50,0.923998,1,0.48,0.665355,1.0988
50,0.923998,1,0.46,0.665355,1.0988
50,0.923998,1,0.44,0.665355,1.0988
50,0.923998,1,0.42,0.665355,1.0988
50,0.923998,1,0.4,0.665355,1.0988
50,0.923998,1,0.38,0.665355,1.0988
50,0.923998,1,0.36,0.665355,1.0988
50,0.923998,1,0.34,0.665355,1.0988
50,0.923998,1,0.32,0.665355,1.0988
50,0.923998,1,0.3,0.665355,1.0988
50,0.923998,1,0.28,0.665355,1.0988
50,0.923998,1,0.26,0.665355,1.0988
50,0.923998,1,0.24,0.665355,1.0988
50,0.923998,1,0.22,0.665355,1.0988
50,0.923998,1,0.18,0.665355,1.0988
50,0.923998,1,0.2,0.665355,1.0988
50,0.923998,1,0.16,0.665355,1.0988
50,0.923998,1,0.14,0.665355,1.0988
50,0.923998,1,0.1,0.665355,1.0988
50,0.923998,1,0.12,0.665355,1.0988
50,0.923998,1,0.08,0.665355,1.0988
50,0.923998,1,0.06,0.665355,1.0988
50,0.923998,1,0.02,0.665355,1.0988
50,0.923998,1,0.04,0.665355,1.0988
50,0.923998,1,0,0.665355,1.0988
80,1.4784,1,0.58,-0.0864058,1.27349
80,1.4784,1,0.56,-0.0864063,1.27349
80,1.4784,1,0.54,-0.0864059,1.27349
80,1.4784,1,0.52,-0.0864071,1.27349
80,1.4784,1,0.5,-0.086406,1.27349
80,1.4784,1,0.48,-0.0864065,1.27349
80,1.4784,1,0.46,-0.0864057,1.27349
80,1.4784,1,0.44,-0.0864066,1.27349
80,1.4784,1,0.42,-0.0864061,1.27349
80,1.4784,1,0.4,-0.0864069,1.27349
80,1.4784,1,0.38,-0.0864059,1.27349
80,1.4784,1,0.36,-0.0864064,1.27349
80,1.4784,1,0.34,-0.0864058,1.27349
80,1.4784,1,0.32,-0.0864065,1.27349
80,1.4784,1,0.3,-0.0864059,1.27349
80,1.4784,1,0.28,-0.0864066,1.27349
80,1.4784,1,0.26,-0.086406,1.27349
80,1.4784,1,0.24,-0.0864067,1.27349
80,1.4784,1,0.22,-0.0864059,1.27349
80,1.4784,1,0.18,-0.0864059,1.27349
80,1.4784,1,0.2,-0.0864067,1.27349
80,1.4784,1,0.16,-0.0864066,1.27349
80,1.4784,1,0.14,-0.0864059,1.27349
80,1.4784,1,0.1,-0.0864059,1.27349
80,1.4784,1,0.12,-0.0864066,1.27349
80,1.4784,1,0.08,-0.0864066,1.27349
80,1.4784,1,0.06,-0.0864059,1.27349
80,1.4784,1,0.02,-0.0864059,1.27349
80,1.4784,1,0.04,-0.0864063,1.27349
80,1.4784,1,0,-0.0864073,1.27349
100,1.848,1,0.58,-0.579808,1.13068
100,1.848,1,0.56,-0.579809,1.13068
100,1.848,1,0.54,-0.579808,1.13068
100,1.848,1,0.52,-0.57981,1.13068
