f,k0,x,y,Re_U,Im_U
300,5.54399,1,0.58,1.1507,-0.750587
300,5.54399,1,0.56,1.13233,-0.73478
300,5.54399,1,0.54,1.1018,-0.708774
300,5.54399,1,0.52,1.05964,-0.672632
300,5.54399,1,0.5,1.00614,-0.626955
300,5.54399,1,0.48,0.942048,-0.572066
300,5.54399,1,0.46,0.867899,-0.508726
300,5.54399,1,0.44,0.784665,-0.437482
300,5.54399,1,0.42,0.693119,-0.359245
300,5.54399,1,0.4,0.594388,-0.274758
300,5.54399,1,0.38,0.489443,-0.185045
300,5.54399,1,0.36,0.379525,-0.0910064
300,5.54399,1,0.34,0.265773,0.00626151
300,5.54399,1,0.32,0.149472,0.105742
300,5.54399,1,0.3,0.0318821,0.206315
300,5.54399,1,0.28,-0.0857164,0.30689
300,5.54399,1,0.26,-0.202004,0.406372
300,5.54399,1,0.24,-0.315763,0.503644
300,5.54399,1,0.22,-0.425666,0.597689
300,5.54399,1,0.2,-0.530611,0.687404
300,5.54399,1,0.18,-0.629329,0.771904
300,5.54399,1,0.16,-0.720875,0.85014
300,5.54399,1,0.14,-0.804092,0.921401
300,5.54399,1,0.02,-1.08686,1.16329
300,5.54399,1,0.04,-1.0685,1.14749
300,5.54399,1,0.06,-1.03797,1.12147
300,5.54399,1,0.12,-0.878238,0.984742
300,5.54399,1,0.1,-0.942316,1.03965
300,5.54399,1,0.08,-0.995821,1.08533
300,5.54399,1,0,-1.09309,1.16851
400,7.39198,1,0.58,-1.81065,0.920567
400,7.39198,1,0.56,-1.78747,0.905284
400,7.39198,1,0.54,-1.74861,0.880656
400,7.39198,1,0.52,-1.69525,0.845955
400,7.39198,1,0.5,-1.62726,0.802539
400,7.39198,1,0.48,-1.54606,0.74999
400,7.39198,1,0.46,-1.45189,0.689686
400,7.39198,1,0.44,-1.34638,0.621556
400,7.39198,1,0.42,-1.23014,0.547022
400,7.39198,1,0.4,-1.10495,0.466291
400,7.39198,1,0.38,-0.971719,0.380789
400,7.39198,1,0.36,-0.832293,0.290987
400,7.39198,1,0.34,-0.687896,0.198263
400,7.39198,1,0.32,-0.540335,0.103315
400,7.39198,1,0.3,-0.391073,0.00742007
400,7.39198,1,0.28,-0.241824,-0.0885174
400,7.39198,1,0.26,-0.0942265,-0.18339
400,7.39198,1,0.24,0.0501879,-0.276128
400,7.39198,1,0.22,0.189677,-0.365834
400,7.39198,1,0.2,0.322936,-0.451314
400,7.39198,1,0.18,0.448221,-0.531943
400,7.39198,1,0.16,0.564501,-0.606431
400,7.39198,1,0.14,0.670095,-0.674463
400,7.39198,1,0.02,1.02913,-0.905017
400,7.39198,1,0.04,1.0059,-0.889812
400,7.39198,1,0.06,0.967045,-0.865162
400,7.39198,1,0.12,0.764306,-0.734718
400,7.39198,1,0.1,0.84559,-0.787183
400,7.39198,1,0.08,0.913607,-0.830589
400,7.39198,1,0,1.03714,-0.909844
500,9.23998,1,0.58,0.751344,-1.97885
500,9.23998,1,0.56,0.742191,-1.95383
500,9.23998,1,0.54,0.725712,-1.91269
500,9.23998,1,0.52,0.704144,-1.85544
500,9.23998,1,0.5,0.675708,-1.78313
500,9.23998,1,0.48,0.642708,-1.69614
500,9.23998,1,0.46,0.603765,-1.59571
500,9.23998,1,0.44,0.560981,-1.48264
500,9.23998,1,0.42,0.513321,-1.35838
500,9.23998,1,0.4,0.462785,-1.22405
500,9.23998,1,0.38,0.408679,-1.08128
500,9.23998,1,0.36,0.352748,-0.931449
500,9.23998,1,0.34,0.294695,-0.776322
500,9.23998,1,0.32,0.23594,-0.617464
500,9.23998,1,0.3,0.176548,-0.45669
500,9.23998,1,0.28,0.117581,-0.295715
500,9.23998,1,0.26,0.0594734,-0.136321
500,9.23998,1,0.24,0.00285964,0.0197278
500,9.23998,1,0.22,-0.0514884,0.170756
500,9.23998,1,0.2,-0.103359,0.314978
500,9.23998,1,0.18,-0.151679,0.450975
500,9.23998,1,0.16,-0.19668,0.576976
500,9.23998,1,0.14,-0.237009,0.69188
500,9.23998,1,0.02,-0.373814,1.08254
500,9.23998,1,0.04,-0.36531,1.05698
500,9.23998,1,0.06,-0.350269,1.01493
500,9.23998,1,0.12,-0.27332,0.794046
500,9.23998,1,0.1,-0.304066,0.882718
500,9.23998,1,0.08,-0.330244,0.956488
500,9.23998,1,0,-0.377218,1.09097
600,11.088,1,0.58,2.12277,1.42466
600,11.088,1,0.56,2.0528,1.4149
600,11.088,1,0.54,1.93996,1.39612
600,11.088,1,0.52,1.78703,1.37143
600,11.088,1,0.5,1.60122,1.33719
600,11.088,1,0.48,1.38785,1.29595
600,11.088,1,0.46,1.15593,1.24478
600,11.088,1,0.44,0.912602,1.18538
600,11.088,1,0.42,0.66765,1.11565
600,11.088,1,0.4,0.428396,1.03683
600,11.088,1,0.38,0.203946,0.947891
600,11.088,1,0.36,0.000511281,0.849617
600,11.088,1,0.34,-0.174723,0.742228
600,11.088,1,0.32,-0.317801,0.626291
600,11.088,1,0.3,-0.424522,0.503168
600,11.088,1,0.28,-0.493747,0.37346
600,11.088,1,0.26,-0.524863,0.239572
600,11.088,1,0.24,-0.519643,0.10224
600,11.088,1,0.22,-0.481034,-0.0354609
600,11.088,1,0.2,-0.413243,-0.172453
600,11.088,1,0.18,-0.322233,-0.305422
600,11.088,1,0.16,-0.213721,-0.432965
600,11.088,1,0.14,-0.0956107,-0.551909
600,11.088,1,0.02,0.447797,-0.979725
600,11.088,1,0.04,0.406206,-0.950752
600,11.088,1,0.06,0.338221,-0.903205
600,11.088,1,0.12,0.0260361,-0.660659
600,11.088,1,0.1,0.142732,-0.75657
600,11.088,1,0.08,0.249322,-0.838047
600,11.088,1,0,0.462695,-0.989471
700,12.936,1,0.58,-2.50802,0.0239632
700,12.936,1,0.56,-2.45098,0.0475916
700,12.936,1,0.54,-2.35752,0.0896511
700,12.936,1,0.52,-2.23093,0.142427
700,12.936,1,0.5,-2.07427,0.209271
700,12.936,1,0.48,-1.89334,0.281838
700,12.936,1,0.46,-1.69206,0.361309
700,12.936,1,0.44,-1.47764,0.440266
700,12.936,1,0.42,-1.25427,0.518332
700,12.936,1,0.4,-1.02992,0.589269
700,12.936,1,0.38,-0.808233,0.651671
700,12.936,1,0.36,-0.596718,0.701365
700,12.936,1,0.34,-0.397922,0.736533
700,12.936,1,0.32,-0.218027,0.755368
700,12.936,1,0.3,-0.0578917,0.756334
700,12.936,1,0.28,0.0781486,0.740066
700,12.936,1,0.26,0.191064,0.705688
700,12.936,1,0.24,0.278821,0.656055
700,12.936,1,0.22,0.34399,0.591332
700,12.936,1,0.2,0.386728,0.515995
700,12.936,1,0.18,0.410792,0.431137
700,12.936,1,0.16,0.418189,0.342256
700,12.936,1,0.14,0.413042,0.251092
700,12.936,1,0.02,0.308976,-0.123553
700,12.936,1,0.04,0.320107,-0.0959341
700,12.936,1,0.06,0.336478,-0.0514041
700,12.936,1,0.12,0.398681,0.163273
700,12.936,1,0.1,0.378777,0.0808343
700,12.936,1,0.08,0.357181,0.00865775
700,12.936,1,0,0.305474,-0.132582
800,14.784,1,0.58,1.05411,-1.89825
800,14.784,1,0.56,1.00915,-1.88048
800,14.784,1,0.54,0.93216,-1.853
800,14.784,1,0.52,0.831901,-1.81272
800,14.784,1,0.5,0.705733,-1.76249
800,14.784,1,0.48,0.564695,-1.70055
800,14.784,1,0.46,0.408088,-1.62848
800,14.784,1,0.44,0.246721,-1.54608
800,14.784,1,0.42,0.0810803,-1.45391
800,14.784,1,0.4,-0.078404,-1.35359
800,14.784,1,0.38,-0.230797,-1.24471
800,14.784,1,0.36,-0.367618,-1.13046
800,14.784,1,0.34,-0.488082,-1.00977
800,14.784,1,0.32,-0.58632,-0.887076
800,14.784,1,0.3,-0.662454,-0.760705
800,14.784,1,0.28,-0.713548,-0.635991
800,14.784,1,0.26,-0.740814,-0.510872
800,14.784,1,0.24,-0.744402,-0.390767
800,14.784,1,0.22,-0.726672,-0.2736
800,14.784,1,0.2,-0.690377,-0.164341
800,14.784,1,0.18,-0.638617,-0.0609641
800,14.784,1,0.16,-0.576218,0.0324492
800,14.784,1,0.14,-0.506351,0.117491
800,14.784,1,0.02,-0.182294,0.395493
800,14.784,1,0.04,-0.207962,0.378176
800,14.784,1,0.06,-0.247999,0.348522
800,14.784,1,0.12,-0.435022,0.191461
800,14.784,1,0.1,-0.364868,0.25522
800,14.784,1,0.08,-0.301973,0.307551
800,14.784,1,0,-0.174409,0.40144
900,16.632,1,0.58,1.06206,1.38219
900,16.632,1,0.56,1.06624,1.34275
900,16.632,1,0.54,1.07744,1.27706
900,16.632,1,0.52,1.09143,1.19154
900,16.632,1,0.5,1.11422,1.08593
900,16.632,1,0.48,1.14213,0.970027
900,16.632,1,0.46,1.17897,0.843815
900,16.632,1,0.44,1.2213,0.717075
900,16.632,1,0.42,1.26976,0.588608
900,16.632,1,0.4,1.3201,0.468264
900,16.632,1,0.38,1.36928,0.352573
900,16.632,1,0.36,1.41241,0.249908
900,16.632,1,0.34,1.44356,0.154277
900,16.632,1,0.32,1.45796,0.0725551
900,16.632,1,0.3,1.44857,-0.0035584
900,16.632,1,0.28,1.41236,-0.0682558
900,16.632,1,0.26,1.34355,-0.130643
900,16.632,1,0.24,1.24241,-0.18589
900,16.632,1,0.22,1.10663,-0.242115
900,16.632,1,0.2,0.941073,-0.295059
900,16.632,1,0.18,0.747631,-0.350218
900,16.632,1,0.16,0.535993,-0.404171
900,16.632,1,0.14,0.311911,-0.458494
900,16.632,1,0.02,-0.683322,-0.686594
900,16.632,1,0.04,-0.606354,-0.670609
900,16.632,1,0.06,-0.483395,-0.641244
900,16.632,1,0.12,0.0883591,-0.511333
900,16.632,1,0.1,-0.126781,-0.560151
900,16.632,1,0.08,-0.319903,-0.605266
900,16.632,1,0,-0.708601,-0.694346
1000,18.48,1,0.58,-1.22442,0.257022
1000,18.48,1,0.56,-1.22705,0.311814
1000,18.48,1,0.54,-1.23139,0.402429
1000,18.48,1,0.52,-1.23603,0.517629
1000,18.48,1,0.5,-1.23815,0.655683
1000,18.48,1,0.48,-1.23973,0.801404
1000,18.48,1,0.46,-1.23473,0.951344
1000,18.48,1,0.44,-1.22656,1.09056
1000,18.48,1,0.42,-1.20617,1.21636
1000,18.48,1,0.4,-1.18012,1.31585
1000,18.48,1,0.38,-1.13724,1.38903
1000,18.48,1,0.36,-1.0861,1.42746
1000,18.48,1,0.34,-1.01504,1.43473
1000,18.48,1,0.32,-0.934083,1.4073
1000,18.48,1,0.3,-0.832327,1.35206
1000,18.48,1,0.28,-0.720612,1.26969
1000,18.48,1,0.26,-0.590483,1.16877
1000,18.48,1,0.24,-0.452279,1.0528
1000,18.48,1,0.22,-0.300913,0.929901
1000,18.48,1,0.2,-0.145858,0.804987
1000,18.48,1,0.18,0.0146347,0.683256
1000,18.48,1,0.16,0.172552,0.570192
1000,18.48,1,0.14,0.326423,0.466769
1000,18.48,1,0.02,0.914624,0.143944
1000,18.48,1,0.04,0.873892,0.164298
1000,18.48,1,0.06,0.805358,0.195329
1000,18.48,1,0.12,0.470406,0.378475
1000,18.48,1,0.1,0.600739,0.302071
1000,18.48,1,0.08,0.713969,0.242994
1000,18.48,1,0,0.929339,0.140103
1100,20.328,1,0.58,-0.114031,-0.939136
1100,20.328,1,0.56,-0.12865,-0.979108
1100,20.328,1,0.54,-0.154013,-1.04292
1100,20.328,1,0.52,-0.186947,-1.12596
1100,20.328,1,0.5,-0.23147,-1.22116
1100,20.328,1,0.48,-0.279953,-1.32409
1100,20.328,1,0.46,-0.338403,-1.4252
1100,20.328,1,0.44,-0.397379,-1.51974
1100,20.328,1,0.42,-0.465103,-1.59673
1100,20.328,1,0.4,-0.528843,-1.65478
1100,20.328,1,0.38,-0.598325,-1.68302
1100,20.328,1,0.36,-0.659436,-1.68418
1100,20.328,1,0.34,-0.7223,-1.64869
1100,20.328,1,0.32,-0.772505,-1.58404
1100,20.328,1,0.3,-0.819977,-1.48226
1100,20.328,1,0.28,-0.851485,-1.35516
1100,20.328,1,0.26,-0.875713,-1.19698
1100,20.328,1,0.24,-0.882698,-1.02181
1100,20.328,1,0.22,-0.879481,-0.825995
1100,20.328,1,0.2,-0.860659,-0.624577
1100,20.328,1,0.18,-0.831091,-0.415138
1100,20.328,1,0.16,-0.791061,-0.212025
1100,20.328,1,0.14,-0.742689,-0.0141306
1100,20.328,1,0.02,-0.489668,0.715064
1100,20.328,1,0.04,-0.512559,0.665317
1100,20.328,1,0.06,-0.544229,0.582665
1100,20.328,1,0.12,-0.691765,0.166869
1100,20.328,1,0.1,-0.637451,0.330874
1100,20.328,1,0.08,-0.589392,0.469837
1100,20.328,1,0,-0.485604,0.73154
1200,22.1759,1,0.58,0.878877,0.111239
1200,22.1759,1,0.56,0.912196,0.080277
1200,22.1759,1,0.54,0.966479,0.034885
1200,22.1759,1,0.52,1.04091,-0.0119066
1200,22.1759,1,0.5,1.13074,-0.0545728
1200,22.1759,1,0.48,1.23535,-0.0753468
1200,22.1759,1,0.46,1.34713,-0.0753823
1200,22.1759,1,0.44,1.46277,-0.0435678
1200,22.1759,1,0.42,1.57232,0.00526978
1200,22.1759,1,0.4,1.67088,0.0757458
1200,22.1759,1,0.38,1.74851,0.140537
1200,22.1759,1,0.36,1.79978,0.20101
1200,22.1759,1,0.34,1.81753,0.225665
1200,22.1759,1,0.32,1.79863,0.221372
1200,22.1759,1,0.3,1.74011,0.162933
1200,22.1759,1,0.28,1.64413,0.0688202
1200,22.1759,1,0.26,1.51185,-0.0720424
1200,22.1759,1,0.24,1.35181,-0.23163
1200,22.1759,1,0.22,1.1667,-0.407852
1200,22.1759,1,0.2,0.971338,-0.571368
1200,22.1759,1,0.18,0.76622,-0.7148
1200,22.1759,1,0.16,0.569733,-0.819211
1200,22.1759,1,0.14,0.378633,-0.880587
1200,22.1759,1,0.02,-0.274018,-0.668952
1200,22.1759,1,0.04,-0.23193,-0.711122
1200,22.1759,1,0.06,-0.162722,-0.766707
1200,22.1759,1,0.12,0.210359,-0.898186
1200,22.1759,1,0.1,0.0586346,-0.875692
1200,22.1759,1,0.08,-0.0634831,-0.828909
1200,22.1759,1,0,-0.285787,-0.657072
1300,24.0239,1,0.58,0.143737,0.822625
1300,24.0239,1,0.56,0.0639007,0.876421
1300,24.0239,1,0.54,-0.0582995,0.955228
1300,24.0239,1,0.52,-0.210329,1.05535
1300,24.0239,1,0.5,-0.368221,1.16222
1300,24.0239,1,0.48,-0.524709,1.26631
1300,24.0239,1,0.46,-0.653059,1.35982
1300,24.0239,1,0.44,-0.754685,1.43148
1300,24.0239,1,0.42,-0.806884,1.48275
