f,k0,x,y,Re_U,Im_U
300,5.54399,1,0.02,-0.508929,1.74196
300,5.54399,1,0.04,-0.500621,1.71326
300,5.54399,1,0.06,-0.486708,1.66582
300,5.54399,1,0.08,-0.467551,1.60011
300,5.54399,1,0.1,-0.443169,1.51689
300,5.54399,1,0.12,-0.414064,1.41702
300,5.54399,1,0.14,-0.380286,1.30165
300,5.54399,1,0.16,-0.342482,1.17201
300,5.54399,1,0.18,-0.30079,1.02954
300,5.54399,1,0.2,-0.255909,0.87577
300,5.54399,1,0.22,-0.208139,0.712416
300,5.54399,1,0.24,-0.158163,0.541261
300,5.54399,1,0.26,-0.106395,0.364166
300,5.54399,1,0.28,-0.0535001,0.183089
300,5.54399,1,0.3,5.82566e-07,-1.53291e-06
300,5.54399,1,0.32,0.0534989,-0.183085
300,5.54399,1,0.34,0.106395,-0.364169
300,5.54399,1,0.36,0.158159,-0.541254
300,5.54399,1,0.38,0.20814,-0.712421
300,5.54399,1,0.4,0.255907,-0.875767
300,5.54399,1,0.42,0.300789,-1.02954
300,5.54399,1,0.44,0.34247,-1.172
300,5.54399,1,0.46,0.380293,-1.30166
300,5.54399,1,0.48,0.414067,-1.41702
300,5.54399,1,0.5,0.443173,-1.51689
300,5.54399,1,0.52,0.467563,-1.60011
300,5.54399,1,0.6,0.511822,-1.75153
300,5.54399,1,0.58,0.508928,-1.74196
300,5.54399,1,0.54,0.486691,-1.66582
300,5.54399,1,0.56,0.500632,-1.71326
400,7.39198,1,0.02,0.911763,-1.56984
400,7.39198,1,0.04,0.896948,-1.54389
400,7.39198,1,0.06,0.87197,-1.5012
400,7.39198,1,0.08,0.837713,-1.44193
400,7.39198,1,0.1,0.793958,-1.36702
400,7.39198,1,0.12,0.741907,-1.27692
400,7.39198,1,0.14,0.681288,-1.17304
400,7.39198,1,0.16,0.613644,-1.05612
400,7.39198,1,0.18,0.538875,-0.92781
400,7.39198,1,0.2,0.458527,-0.789188
400,7.39198,1,0.22,0.372883,-0.642018
400,7.39198,1,0.24,0.283391,-0.487754
400,7.39198,1,0.26,0.190608,-0.32818
