f,k0,x,y,Re_U,Im_U
600,11.088,-1,0.6,1.89764,-0.795938
600,11.088,-1,0.58,1.88593,-0.789573
600,11.088,-1,0.56,1.8506,-0.774083
600,11.088,-1,0.54,1.79256,-0.747205
600,11.088,-1,0.52,1.71231,-0.711738
600,11.088,-1,0.5,1.61173,-0.666141
600,11.088,-1,0.48,1.49168,-0.613791
600,11.088,-1,0.46,1.3547,-0.553284
600,11.088,-1,0.44,1.20216,-0.488321
600,11.088,-1,0.42,1.03703,-0.417962
600,11.088,-1,0.4,0.861151,-0.345467
600,11.088,-1,0.38,0.677328,-0.270595
600,11.088,-1,0.36,0.4877,-0.195909
600,11.088,-1,0.34,0.295073,-0.121541
600,11.088,-1,0.32,0.101552,-0.0494357
600,11.088,-1,0.3,-0.0902512,0.0199833
600,11.088,-1,0.28,-0.278355,0.0856415
600,11.088,-1,0.26,-0.460888,0.146871
600,11.088,-1,0.24,-0.635778,0.203427
600,11.088,-1,0.22,-0.801508,0.254492
600,11.088,-1,0.2,-0.956518,0.300627
600,11.088,-1,0.18,-1.10001,0.340802
600,11.088,-1,0.16,-1.2304,0.376507
600,11.088,-1,0.14,-1.34732,0.406042
600,11.088,-1,0.12,-1.44935,0.431912
600,11.088,-1,0.1,-1.53707,0.451819
600,11.088,-1,0.08,-1.60883,0.468865
600,11.088,-1,0.02,-1.72992,0.494257
600,11.088,-1,0.06,-1.66533,0.480535
600,11.088,-1,0.04,-1.70549,0.489714
700,12.936,-1,0.6,-1.41777,-1.18958
700,12.936,-1,0.58,-1.40831,-1.18288
700,12.936,-1,0.56,-1.38469,-1.15966
700,12.936,-1,0.54,-1.34397,-1.12264
700,12.936,-1,0.52,-1.2892,-1.07029
700,12.936,-1,0.5,-1.21828,-1.00588
700,12.936,-1,0.48,-1.135,-0.927727
700,12.936,-1,0.46,-1.03721,-0.839702
700,12.936,-1,0.44,-0.929119,-0.740479
700,12.936,-1,0.42,-0.809279,-0.633972
700,12.936,-1,0.4,-0.681495,-0.519641
700,12.936,-1,0.38,-0.545227,-0.400557
700,12.936,-1,0.36,-0.403638,-0.277065
700,12.936,-1,0.34,-0.256962,-0.151849
700,12.936,-1,0.32,-0.10793,-0.0255876
700,12.936,-1,0.3,0.0424589,0.0995515
700,12.936,-1,0.28,0.192218,0.222503
700,12.936,-1,0.26,0.339869,0.342146
700,12.936,-1,0.24,0.483912,0.456777
700,12.936,-1,0.22,0.622274,0.565807
700,12.936,-1,0.2,0.754398,0.667623
700,12.936,-1,0.18,0.877822,0.762517
700,12.936,-1,0.16,0.992827,0.848263
700,12.936,-1,0.14,1.09591,0.925998
700,12.936,-1,0.12,1.1888,0.993025
700,12.936,-1,0.1,1.26759,1.05177
700,12.936,-1,0.08,1.33461,1.09891
700,12.936,-1,0.02,1.44629,1.1799
700,12.936,-1,0.06,1.38593,1.13696
700,12.936,-1,0.04,1.42419,1.16329
800,14.784,-1,0.6,-0.566132,1.68821
800,14.784,-1,0.58,-0.564786,1.67654
800,14.784,-1,0.56,-0.553692,1.64575
800,14.784,-1,0.54,-0.537884,1.59366
800,14.784,-1,0.52,-0.513657,1.52297
800,14.784,-1,0.5,-0.486216,1.43274
800,14.784,-1,0.48,-0.450856,1.32647
800,14.784,-1,0.46,-0.413635,1.20331
800,14.784,-1,0.44,-0.369923,1.06736
800,14.784,-1,0.42,-0.325385,0.918577
800,14.784,-1,0.4,-0.276544,0.760773
800,14.784,-1,0.38,-0.227402,0.594515
800,14.784,-1,0.36,-0.176021,0.423119
800,14.784,-1,0.34,-0.125471,0.247798
800,14.784,-1,0.32,-0.074493,0.0713594
800,14.784,-1,0.3,-0.0250697,-0.104388
800,14.784,-1,0.28,0.023004,-0.277501
800,14.784,-1,0.26,0.0693527,-0.446124
800,14.784,-1,0.24,0.112934,-0.608685
800,14.784,-1,0.22,0.154341,-0.762986
800,14.784,-1,0.2,0.191872,-0.908644
800,14.784,-1,0.18,0.227469,-1.04338
800,14.784,-1,0.16,0.258012,-1.16749
800,14.784,-1,0.14,0.287185,-1.27774
800,14.784,-1,0.12,0.310066,-1.37607
800,14.784,-1,0.1,0.332377,-1.45909
800,14.784,-1,0.08,0.348005,-1.52898
800,14.784,-1,0.02,0.377845,-1.64475
800,14.784,-1,0.06,0.362706,-1.58238
800,14.784,-1,0.04,0.371171,-1.62182
900,16.632,-1,0.6,1.95624,-0.0819733
900,16.632,-1,0.58,1.93772,-0.0786077
900,16.632,-1,0.56,1.88466,-0.0787284
900,16.632,-1,0.54,1.79881,-0.0761353
900,16.632,-1,0.52,1.6844,-0.076269
900,16.632,-1,0.5,1.54669,-0.0730496
900,16.632,-1,0.48,1.39143,-0.0742931
900,16.632,-1,0.46,1.22454,-0.0722829
900,16.632,-1,0.44,1.05195,-0.0752056
900,16.632,-1,0.42,0.878686,-0.0755024
900,16.632,-1,0.4,0.708958,-0.079547
900,16.632,-1,0.38,0.544894,-0.0815709
900,16.632,-1,0.36,0.388065,-0.0852169
900,16.632,-1,0.34,0.237891,-0.0858177
900,16.632,-1,0.32,0.0934582,-0.0853966
900,16.632,-1,0.3,-0.0477338,-0.081026
900,16.632,-1,0.28,-0.188075,-0.0726549
900,16.632,-1,0.26,-0.331126,-0.0599817
900,16.632,-1,0.24,-0.47826,-0.0412231
900,16.632,-1,0.22,-0.631381,-0.018294
900,16.632,-1,0.2,-0.790732,0.0112916
900,16.632,-1,0.18,-0.955749,0.0431901
900,16.632,-1,0.16,-1.12371,0.0811916
900,16.632,-1,0.14,-1.29043,0.117548
900,16.632,-1,0.12,-1.45179,0.158065
900,16.632,-1,0.1,-1.60205,0.192695
900,16.632,-1,0.08,-1.73553,0.227706
900,16.632,-1,0.02,-1.98024,0.288024
900,16.632,-1,0.06,-1.84581,0.253686
900,16.632,-1,0.04,-1.92909,0.275958
1000,18.48,-1,0.6,-0.742421,-1.74877
1000,18.48,-1,0.58,-0.734509,-1.73858
1000,18.48,-1,0.56,-0.724374,-1.70575
1000,18.48,-1,0.54,-0.703692,-1.65256
1000,18.48,-1,0.52,-0.678946,-1.57788
1000,18.48,-1,0.5,-0.642505,-1.48543
1000,18.48,-1,0.48,-0.603494,-1.37372
1000,18.48,-1,0.46,-0.552746,-1.24711
1000,18.48,-1,0.44,-0.499868,-1.1049
1000,18.48,-1,0.42,-0.436877,-0.951818
1000,18.48,-1,0.4,-0.37175,-0.788112
1000,18.48,-1,0.38,-0.299185,-0.617484
1000,18.48,-1,0.36,-0.224582,-0.441266
1000,18.48,-1,0.34,-0.144447,-0.263046
1000,18.48,-1,0.32,-0.0630619,-0.0844134
1000,18.48,-1,0.3,0.0209918,0.0913999
1000,18.48,-1,0.28,0.105535,0.262694
1000,18.48,-1,0.26,0.189781,0.427879
1000,18.48,-1,0.24,0.273349,0.584347
1000,18.48,-1,0.22,0.353641,0.73108
1000,18.48,-1,0.2,0.432453,0.866377
1000,18.48,-1,0.18,0.505158,0.990489
1000,18.48,-1,0.16,0.575885,1.10119
1000,18.48,-1,0.14,0.636416,1.19939
1000,18.48,-1,0.12,0.695373,1.28316
1000,18.48,-1,0.1,0.741421,1.35516
1000,18.48,-1,0.08,0.784736,1.4125
1000,18.48,-1,0.02,0.851581,1.50852
1000,18.48,-1,0.06,0.814141,1.45775
1000,18.48,-1,0.04,0.839187,1.48916
1100,20.328,-1,0.6,-2.5048,1.59236
1100,20.328,-1,0.58,-2.46616,1.59209
1100,20.328,-1,0.56,-2.35047,1.59307
1100,20.328,-1,0.54,-2.16678,1.59302
1100,20.328,-1,0.52,-1.92351,1.58536
1100,20.328,-1,0.5,-1.63865,1.5622
1100,20.328,-1,0.48,-1.32453,1.5218
1100,20.328,-1,0.46,-1.00047,1.44931
1100,20.328,-1,0.44,-0.680795,1.34999
1100,20.328,-1,0.42,-0.381324,1.2084
1100,20.328,-1,0.4,-0.112315,1.03628
1100,20.328,-1,0.38,0.118545,0.822551
1100,20.328,-1,0.36,0.307742,0.58438
1100,20.328,-1,0.34,0.453882,0.317238
1100,20.328,-1,0.32,0.562441,0.0426224
1100,20.328,-1,0.3,0.636283,-0.236938
1100,20.328,-1,0.28,0.687297,-0.501708
1100,20.328,-1,0.26,0.720183,-0.744374
1100,20.328,-1,0.24,0.748156,-0.950889
1100,20.328,-1,0.22,0.77456,-1.11263
1100,20.328,-1,0.2,0.809012,-1.2265
1100,20.328,-1,0.18,0.852596,-1.28636
1100,20.328,-1,0.16,0.908957,-1.30126
1100,20.328,-1,0.14,0.975886,-1.26742
1100,20.328,-1,0.12,1.04884,-1.20666
1100,20.328,-1,0.1,1.12832,-1.11646
1100,20.328,-1,0.08,1.20076,-1.02425
1100,20.328,-1,0.02,1.35401,-0.806942
1100,20.328,-1,0.06,1.26926,-0.93016
1100,20.328,-1,0.04,1.31868,-0.857071
1200,22.1759,-1,0.6,1.6541,0.763417
1200,22.1759,-1,0.58,1.64245,0.761983
1200,22.1759,-1,0.56,1.62552,0.740473
1200,22.1759,-1,0.54,1.59269,0.712465
1200,22.1759,-1,0.52,1.55109,0.671613
1200,22.1759,-1,0.5,1.49085,0.632376
1200,22.1759,-1,0.48,1.42219,0.585616
1200,22.1759,-1,0.46,1.3323,0.545111
1200,22.1759,-1,0.44,1.23125,0.500796
1200,22.1759,-1,0.42,1.10817,0.461144
1200,22.1759,-1,0.4,0.970467,0.416424
1200,22.1759,-1,0.38,0.81169,0.368238
1200,22.1759,-1,0.36,0.636481,0.309575
1200,22.1759,-1,0.34,0.44336,0.240022
1200,22.1759,-1,0.32,0.237329,0.155523
1200,22.1759,-1,0.3,0.022545,0.0568916
1200,22.1759,-1,0.28,-0.196002,-0.0546587
1200,22.1759,-1,0.26,-0.411096,-0.176515
1200,22.1759,-1,0.24,-0.616968,-0.301718
1200,22.1759,-1,0.22,-0.804812,-0.425404
1200,22.1759,-1,0.2,-0.972218,-0.538755
1200,22.1759,-1,0.18,-1.11206,-0.639283
1200,22.1759,-1,0.16,-1.22581,-0.718074
1200,22.1759,-1,0.14,-1.30701,-0.779147
1200,22.1759,-1,0.12,-1.36615,-0.813526
1200,22.1759,-1,0.1,-1.39804,-0.835718
1200,22.1759,-1,0.08,-1.41679,-0.83687
1200,22.1759,-1,0.02,-1.41469,-0.819519
1200,22.1759,-1,0.06,-1.41891,-0.835364
1200,22.1759,-1,0.04,-1.41898,-0.824392
1300,24.0239,-1,0.6,0.221355,-1.63939
1300,24.0239,-1,0.58,0.22597,-1.63425
1300,24.0239,-1,0.56,0.209759,-1.63057
1300,24.0239,-1,0.54,0.192491,-1.6192
1300,24.0239,-1,0.52,0.161149,-1.60006
1300,24.0239,-1,0.5,0.135231,-1.56212
1300,24.0239,-1,0.48,0.0977708,-1.50871
1300,24.0239,-1,0.46,0.0699444,-1.42592
1300,24.0239,-1,0.44,0.0368814,-1.32094
1300,24.0239,-1,0.42,0.0154688,-1.18357
1300,24.0239,-1,0.4,-0.00500924,-1.02357
1300,24.0239,-1,0.38,-0.015148,-0.836676
1300,24.0239,-1,0.36,-0.0210168,-0.633183
1300,24.0239,-1,0.34,-0.0177017,-0.413963
1300,24.0239,-1,0.32,-0.0109848,-0.189019
1300,24.0239,-1,0.3,-0.000261551,0.0371175
1300,24.0239,-1,0.28,0.010634,0.258746
1300,24.0239,-1,0.26,0.0180293,0.470938
1300,24.0239,-1,0.24,0.0212749,0.67187
1300,24.0239,-1,0.22,0.0149507,0.856367
1300,24.0239,-1,0.2,0.00232089,1.02835
1300,24.0239,-1,0.18,-0.0240795,1.18294
1300,24.0239,-1,0.16,-0.0547387,1.32661
1300,24.0239,-1,0.14,-0.100557,1.45046
1300,24.0239,-1,0.12,-0.142846,1.56531
1300,24.0239,-1,0.1,-0.197482,1.66127
1300,24.0239,-1,0.08,-0.241027,1.7455
1300,24.0239,-1,0.02,-0.34205,1.88727
1300,24.0239,-1,0.06,-0.28797,1.80938
1300,24.0239,-1,0.04,-0.318509,1.85832
1400,25.8719,-1,0.6,-1.44768,0.376658
1400,25.8719,-1,0.58,-1.45735,0.358891
1400,25.8719,-1,0.56,-1.48769,0.351512
1400,25.8719,-1,0.54,-1.52791,0.32857
1400,25.8719,-1,0.52,-1.56477,0.312982
1400,25.8719,-1,0.5,-1.581,0.284832
1400,25.8719,-1,0.48,-1.56451,0.270179
1400,25.8719,-1,0.46,-1.50006,0.247995
1400,25.8719,-1,0.44,-1.38539,0.237328
1400,25.8719,-1,0.42,-1.218,0.220108
1400,25.8719,-1,0.4,-1.00885,0.207423
1400,25.8719,-1,0.38,-0.767763,0.185053
1400,25.8719,-1,0.36,-0.513983,0.158405
1400,25.8719,-1,0.34,-0.263022,0.115111
1400,25.8719,-1,0.32,-0.0326382,0.063575
1400,25.8719,-1,0.3,0.166162,-0.00323938
1400,25.8719,-1,0.28,0.327965,-0.0770884
1400,25.8719,-1,0.26,0.453973,-0.155353
1400,25.8719,-1,0.24,0.552159,-0.233311
1400,25.8719,-1,0.22,0.632802,-0.300792
1400,25.8719,-1,0.2,0.713353,-0.361308
1400,25.8719,-1,0.18,0.804678,-0.396818
1400,25.8719,-1,0.16,0.920966,-0.4247
1400,25.8719,-1,0.14,1.06102,-0.41879
1400,25.8719,-1,0.12,1.22939,-0.412766
1400,25.8719,-1,0.1,1.41375,-0.376981
1400,25.8719,-1,0.08,1.60124,-0.349101
1400,25.8719,-1,0.02,2.00244,-0.257434
1400,25.8719,-1,0.06,1.77277,-0.307337
1400,25.8719,-1,0.04,1.91179,-0.279576
1500,27.7199,-1,0.6,0.875709,1.50548
1500,27.7199,-1,0.58,0.853275,1.50442
1500,27.7199,-1,0.56,0.835406,1.49508
1500,27.7199,-1,0.54,0.797052,1.47992
1500,27.7199,-1,0.52,0.76284,1.45097
1500,27.7199,-1,0.5,0.712284,1.40988
1500,27.7199,-1,0.48,0.676318,1.34663
1500,27.7199,-1,0.46,0.627328,1.26202
1500,27.7199,-1,0.44,0.589267,1.14917
1500,27.7199,-1,0.42,0.534764,1.01133
1500,27.7199,-1,0.4,0.478878,0.848026
1500,27.7199,-1,0.38,0.402178,0.665407
1500,27.7199,-1,0.36,0.315508,0.469795
1500,27.7199,-1,0.34,0.208666,0.271852
1500,27.7199,-1,0.32,0.0971353,0.0800906
1500,27.7199,-1,0.3,-0.0196669,-0.0947906
1500,27.7199,-1,0.28,-0.129626,-0.248307
1500,27.7199,-1,0.26,-0.227066,-0.378266
1500,27.7199,-1,0.24,-0.310304,-0.486041
1500,27.7199,-1,0.22,-0.373279,-0.578477
1500,27.7199,-1,0.2,-0.429995,-0.663483
1500,27.7199,-1,0.18,-0.471968,-0.75511
1500,27.7199,-1,0.16,-0.527527,-0.856276
1500,27.7199,-1,0.14,-0.575034,-0.978263
1500,27.7199,-1,0.12,-0.652663,-1.1144
1500,27.7199,-1,0.1,-0.723415,-1.26898
1500,27.7199,-1,0.08,-0.816181,-1.42096
1500,27.7199,-1,0.02,-1.00614,-1.75466
1500,27.7199,-1,0.06,-0.890897,-1.56419
1500,27.7199,-1,0.04,-0.963125,-1.6793
1600,29.5679,-1,0.6,1.33142,-1.21012
1600,29.5679,-1,0.58,1.32561,-1.19635
1600,29.5679,-1,0.56,1.28726,-1.20119
1600,29.5679,-1,0.54,1.23603,-1.19643
1600,29.5679,-1,0.52,1.16523,-1.19725
1600,29.5679,-1,0.5,1.09588,-1.17277
1600,29.5679,-1,0.48,1.01715,-1.15001
1600,29.5679,-1,0.46,0.943039,-1.08936
1600,29.5679,-1,0.44,0.861657,-1.01951
1600,29.5679,-1,0.42,0.77734,-0.907967
1600,29.5679,-1,0.4,0.678915,-0.779782
1600,29.5679,-1,0.38,0.566065,-0.619798
1600,29.5679,-1,0.36,0.433314,-0.448187
1600,29.5679,-1,0.34,0.286739,-0.263453
1600,29.5679,-1,0.32,0.126862,-0.0852449
1600,29.5679,-1,0.3,-0.0325645,0.080563
1600,29.5679,-1,0.28,-0.186619,0.224116
1600,29.5679,-1,0.26,-0.324999,0.340911
1600,29.5679,-1,0.24,-0.441882,0.434048
1600,29.5679,-1,0.22,-0.537318,0.503673
1600,29.5679,-1,0.2,-0.610092,0.568462
1600,29.5679,-1,0.18,-0.676162,0.62708
1600,29.5679,-1,0.16,-0.729335,0.707611
1600,29.5679,-1,0.14,-0.795005,0.791222
1600,29.5679,-1,0.12,-0.857086,0.914124
1600,29.5679,-1,0.1,-0.940516,1.0354
1600,29.5679,-1,0.08,-1.01724,1.18069
1600,29.5679,-1,0.02,-1.20991,1.47884
1600,29.5679,-1,0.06,-1.09997,1.30131
1600,29.5679,-1,0.04,-1.16468,1.41257
1650,30.4919,-1,0.6,-0.436988,-2.12243
1650,30.4919,-1,0.58,-0.41652,-2.0654
1650,30.4919,-1,0.56,-0.402437,-1.93005
1650,30.4919,-1,0.54,-0.373732,-1.7296
1650,30.4919,-1,0.52,-0.355886,-1.5077
1650,30.4919,-1,0.5,-0.319339,-1.2987
1650,30.4919,-1,0.48,-0.312541,-1.13842
1650,30.4919,-1,0.46,-0.284501,-1.03511
