f,k0,x,y,Re_U,Im_U
30,0.554399,-1,0.58,1.07555,-0.646384
30,0.554399,-1,0.6,1.07555,-0.646384
30,0.554399,-1,0.56,1.07555,-0.646384
30,0.554399,-1,0.54,1.07555,-0.646384
30,0.554399,-1,0.52,1.07555,-0.646384
30,0.554399,-1,0.5,1.07555,-0.646384
30,0.554399,-1,0.48,1.07556,-0.646384
30,0.554399,-1,0.46,1.07556,-0.646384
30,0.554399,-1,0.44,1.07556,-0.646384
30,0.554399,-1,0.42,1.07556,-0.646384
30,0.554399,-1,0.4,1.07557,-0.646384
30,0.554399,-1,0.38,1.07557,-0.646384
30,0.554399,-1,0.36,1.07557,-0.646384
30,0.554399,-1,0.34,1.07558,-0.646384
30,0.554399,-1,0.32,1.07558,-0.646385
30,0.554399,-1,0.3,1.07559,-0.646384
30,0.554399,-1,0.28,1.07559,-0.646385
30,0.554399,-1,0.26,1.07559,-0.646385
30,0.554399,-1,0.24,1.0756,-0.646385
30,0.554399,-1,0.22,1.0756,-0.646385
30,0.554399,-1,0.2,1.0756,-0.646385
30,0.554399,-1,0.18,1.07561,-0.646385
30,0.554399,-1,0.16,1.07561,-0.646385
30,0.554399,-1,0.14,1.07561,-0.646385
30,0.554399,-1,0.12,1.07561,-0.646385
30,0.554399,-1,0.1,1.07562,-0.646385
30,0.554399,-1,0.08,1.07562,-0.646385
30,0.554399,-1,0.06,1.07562,-0.646385
30,0.554399,-1,0.02,1.07562,-0.646385
30,0.554399,-1,0.04,1.07562,-0.646385
30,0.554399,-1,0,1.07562,-0.646385
50,0.923998,-1,0.58,0.723767,-0.993603
50,0.923998,-1,0.6,0.723766,-0.993603
50,0.923998,-1,0.56,0.723769,-0.993603
50,0.923998,-1,0.54,0.723772,-0.993603
50,0.923998,-1,0.52,0.723775,-0.993603
50,0.923998,-1,0.5,0.72378,-0.993603
50,0.923998,-1,0.48,0.723786,-0.993603
50,0.923998,-1,0.46,0.723793,-0.993603
50,0.923998,-1,0.44,0.723801,-0.993603
50,0.923998,-1,0.42,0.723809,-0.993603
50,0.923998,-1,0.4,0.723818,-0.993603
50,0.923998,-1,0.38,0.723828,-0.993603
50,0.923998,-1,0.36,0.723838,-0.993603
50,0.923998,-1,0.34,0.723849,-0.993603
50,0.923998,-1,0.32,0.723859,-0.993604
50,0.923998,-1,0.3,0.72387,-0.993603
50,0.923998,-1,0.28,0.723881,-0.993604
50,0.923998,-1,0.26,0.723892,-0.993604
50,0.923998,-1,0.24,0.723902,-0.993604
50,0.923998,-1,0.22,0.723913,-0.993604
50,0.923998,-1,0.2,0.723922,-0.993604
50,0.923998,-1,0.18,0.723932,-0.993604
50,0.923998,-1,0.16,0.72394,-0.993604
50,0.923998,-1,0.14,0.723948,-0.993604
50,0.923998,-1,0.12,0.723954,-0.993604
50,0.923998,-1,0.1,0.72396,-0.993604
50,0.923998,-1,0.08,0.723965,-0.993604
50,0.923998,-1,0.06,0.723969,-0.993604
50,0.923998,-1,0.02,0.723974,-0.993604
50,0.923998,-1,0.04,0.723972,-0.993604
50,0.923998,-1,0,0.723974,-0.993605
80,1.4784,-1,0.58,0.0184406,-1.2845
80,1.4784,-1,0.6,0.0184375,-1.28451
80,1.4784,-1,0.56,0.0184452,-1.28451
80,1.4784,-1,0.54,0.0184538,-1.28451
80,1.4784,-1,0.52,0.0184645,-1.28451
80,1.4784,-1,0.5,0.0184796,-1.28451
80,1.4784,-1,0.48,0.0184962,-1.28451
80,1.4784,-1,0.46,0.018517,-1.28451
80,1.4784,-1,0.44,0.0185387,-1.28451
80,1.4784,-1,0.42,0.0185642,-1.28451
80,1.4784,-1,0.4,0.0185901,-1.28451
80,1.4784,-1,0.38,0.0186192,-1.28451
80,1.4784,-1,0.36,0.0186481,-1.28451
80,1.4784,-1,0.34,0.0186797,-1.28451
80,1.4784,-1,0.32,0.0187103,-1.28451
80,1.4784,-1,0.3,0.018743,-1.28451
80,1.4784,-1,0.28,0.0187738,-1.28451
80,1.4784,-1,0.26,0.0188061,-1.28451
80,1.4784,-1,0.24,0.0188357,-1.28451
80,1.4784,-1,0.22,0.0188664,-1.28451
80,1.4784,-1,0.2,0.0188939,-1.28451
80,1.4784,-1,0.18,0.0189217,-1.28451
80,1.4784,-1,0.16,0.0189456,-1.28451
80,1.4784,-1,0.14,0.0189688,-1.28451
80,1.4784,-1,0.12,0.018988,-1.28451
80,1.4784,-1,0.1,0.0190061,-1.28451
80,1.4784,-1,0.08,0.0190198,-1.28451
80,1.4784,-1,0.06,0.019032,-1.28451
80,1.4784,-1,0.02,0.0190453,-1.28451
80,1.4784,-1,0.04,0.0190398,-1.28451
80,1.4784,-1,0,0.0190455,-1.28451
100,1.848,-1,0.58,-0.466036,-1.28656
100,1.848,-1,0.6,-0.466041,-1.28656
