f,k0,x,y,Re_U,Im_U
600,11.088,1,0.1,-1.33194,-0.729763
600,11.088,1,0.02,-1.60154,-0.882435
600,11.088,1,0.08,-1.4304,-0.785956
600,11.088,1,0.04,-1.5665,-0.863329
600,11.088,1,0.06,-1.50942,-0.829953
600,11.088,1,0.12,-1.2149,-0.664828
600,11.088,1,0.14,-1.08208,-0.590342
600,11.088,1,0.16,-0.934919,-0.510045
600,11.088,1,0.18,-0.777074,-0.423485
600,11.088,1,0.2,-0.610011,-0.334035
600,11.088,1,0.22,-0.437276,-0.24219
600,11.088,1,0.24,-0.260604,-0.150275
600,11.088,1,0.26,-0.0833299,-0.0593654
600,11.088,1,0.28,0.0927219,0.0289475
600,11.088,1,0.3,0.265266,0.113552
600,11.088,1,0.38,0.883272,0.397854
600,11.088,1,0.32,0.432151,0.193642
600,11.088,1,0.34,0.591749,0.267812
600,11.088,1,0.36,0.742388,0.336366
600,11.088,1,0.46,1.33058,0.579074
600,11.088,1,0.4,1.01293,0.45341
600,11.088,1,0.42,1.13117,0.501458
600,11.088,1,0.44,1.23693,0.54389
600,11.088,1,0.48,1.4112,0.609442
600,11.088,1,0.5,1.47954,0.633087
600,11.088,1,0.52,1.53488,0.652872
600,11.088,1,0.54,1.5781,0.666651
600,11.088,1,0.58,1.62705,0.68258
600,11.088,1,0.56,1.60856,0.677238
600,11.088,1,0.6,1.63289,0.685544
700,12.936,1,0.1,1.24704,-0.680425
700,12.936,1,0.02,1.46963,-0.760604
700,12.936,1,0.08,1.32927,-0.710231
700,12.936,1,0.04,1.44165,-0.750028
700,12.936,1,0.06,1.39382,-0.734322
700,12.936,1,0.12,1.15035,-0.641981
700,12.936,1,0.14,1.03858,-0.596989
700,12.936,1,0.16,0.915485,-0.542719
700,12.936,1,0.18,0.781117,-0.481782
700,12.936,1,0.2,0.638902,-0.411578
700,12.936,1,0.22,0.48981,-0.334066
700,12.936,1,0.24,0.336426,-0.247953
700,12.936,1,0.26,0.180477,-0.154998
700,12.936,1,0.28,0.0241432,-0.0549298
700,12.936,1,0.3,-0.131177,0.0511473
700,12.936,1,0.38,-0.705779,0.509984
700,12.936,1,0.32,-0.283386,0.161905
700,12.936,1,0.34,-0.430669,0.276499
700,12.936,1,0.36,-0.572139,0.392691
700,12.936,1,0.46,-1.14644,0.945216
700,12.936,1,0.4,-0.831476,0.625143
700,12.936,1,0.42,-0.946803,0.737921
700,12.936,1,0.44,-1.05268,0.844559
700,12.936,1,0.48,-1.22977,1.03571
700,12.936,1,0.5,-1.29962,1.11679
700,12.936,1,0.52,-1.35854,1.18426
700,12.936,1,0.54,-1.40319,1.23945
700,12.936,1,0.58,-1.45532,1.30341
700,12.936,1,0.56,-1.43646,1.27867
700,12.936,1,0.6,-1.46324,1.31049
800,14.784,1,0.1,-0.0325437,1.30274
800,14.784,1,0.02,-0.0606784,1.47946
800,14.784,1,0.08,-0.0433589,1.36893
800,14.784,1,0.04,-0.0579629,1.45752
800,14.784,1,0.06,-0.0505976,1.42043
800,14.784,1,0.12,-0.0228237,1.22263
800,14.784,1,0.14,-0.0109707,1.12787
800,14.784,1,0.16,-0.0018555,1.01973
800,14.784,1,0.18,0.00789584,0.898239
800,14.784,1,0.2,0.0133766,0.764348
800,14.784,1,0.22,0.0165838,0.618685
800,14.784,1,0.24,0.014248,0.462113
800,14.784,1,0.26,0.00755121,0.296217
800,14.784,1,0.28,-0.00579527,0.122212
800,14.784,1,0.3,-0.0252546,-0.0587145
800,14.784,1,0.38,-0.168905,-0.806405
800,14.784,1,0.32,-0.0515428,-0.2441
800,14.784,1,0.34,-0.0846848,-0.431929
800,14.784,1,0.36,-0.123592,-0.620231
800,14.784,1,0.46,-0.37933,-1.48052
800,14.784,1,0.4,-0.217638,-0.988412
800,14.784,1,0.42,-0.270976,-1.16277
800,14.784,1,0.44,-0.324253,-1.32812
800,14.784,1,0.48,-0.430093,-1.61914
800,14.784,1,0.5,-0.479405,-1.73968
800,14.784,1,0.52,-0.520221,-1.84248
800,14.784,1,0.54,-0.55641,-1.92315
800,14.784,1,0.58,-0.598347,-2.0182
800,14.784,1,0.56,-0.581166,-1.98291
800,14.784,1,0.6,-0.60138,-2.03156
900,16.632,1,0.1,-1.25777,-0.397855
900,16.632,1,0.02,-0.875184,-0.318765
900,16.632,1,0.08,-1.14192,-0.375195
900,16.632,1,0.04,-0.936421,-0.332373
900,16.632,1,0.06,-1.02976,-0.350973
900,16.632,1,0.12,-1.35925,-0.420263
900,16.632,1,0.14,-1.42909,-0.432591
900,16.632,1,0.16,-1.45121,-0.438817
900,16.632,1,0.18,-1.41452,-0.428159
900,16.632,1,0.2,-1.31012,-0.407136
900,16.632,1,0.22,-1.13765,-0.368493
900,16.632,1,0.24,-0.89908,-0.318634
900,16.632,1,0.26,-0.605959,-0.254977
900,16.632,1,0.28,-0.2707,-0.183955
900,16.632,1,0.3,0.0882078,-0.106873
900,16.632,1,0.38,1.37679,0.169904
900,16.632,1,0.32,0.451586,-0.0288432
900,16.632,1,0.34,0.798755,0.0451286
900,16.632,1,0.36,1.11222,0.11382
900,16.632,1,0.46,1.81541,0.269927
900,16.632,1,0.4,1.58195,0.216684
900,16.632,1,0.42,1.72218,0.246351
900,16.632,1,0.44,1.79811,0.266273
900,16.632,1,0.48,1.78451,0.26743
900,16.632,1,0.5,1.71926,0.253511
900,16.632,1,0.52,1.63575,0.23935
900,16.632,1,0.54,1.54988,0.220814
900,16.632,1,0.58,1.42749,0.196528
900,16.632,1,0.56,1.47652,0.207258
900,16.632,1,0.6,1.41052,0.195823
1000,18.48,1,0.1,0.839467,-0.97903
1000,18.48,1,0.02,0.576602,-1.50613
1000,18.48,1,0.08,0.760562,-1.15728
1000,18.48,1,0.04,0.620466,-1.43144
1000,18.48,1,0.06,0.681601,-1.31196
1000,18.48,1,0.12,0.914098,-0.786966
1000,18.48,1,0.14,0.967535,-0.596603
1000,18.48,1,0.16,0.99425,-0.413871
1000,18.48,1,0.18,0.982241,-0.255315
1000,18.48,1,0.2,0.929483,-0.119141
1000,18.48,1,0.22,0.833672,-0.0154542
1000,18.48,1,0.24,0.696437,0.0633435
