============================================================
--- f = 600.0 Hz | active modes = [0, 1] (2 modes) ---
============================================================

--- Phase 1: Mode 0 | Adam (max 40001 steps) ---
[Adam M0] Step 0 | pde 1.86e+04 | bc 5.29e+02 | total 1.91e+04 | scales [11.077973  5.225988]
[Adam M0] Step 200 | pde 9.01e+00 | bc 1.19e+00 | total 1.02e+01 | scales [10.730413   4.4724007]
[Adam M0] Step 400 | pde 8.56e+00 | bc 2.37e-01 | total 8.79e+00 | scales [10.739929  4.420259]
[Adam M0] Step 600 | pde 3.79e+00 | bc 1.27e-01 | total 3.91e+00 | scales [10.710096  4.25931 ]
[Adam M0] Step 800 | pde 1.24e+00 | bc 3.66e-01 | total 1.61e+00 | scales [10.702549  4.175467]
[Adam M0] Step 1000 | pde 9.15e-01 | bc 1.39e-01 | total 1.05e+00 | scales [10.702534   4.2036242]
[Adam M0] Step 1200 | pde 1.26e+00 | bc 1.86e-01 | total 1.45e+00 | scales [10.7219925  4.292058 ]
[Adam M0] Step 1400 | pde 1.75e+00 | bc 7.08e-02 | total 1.83e+00 | scales [10.726077   4.2053394]
[Adam M0] Step 1600 | pde 6.05e-01 | bc 1.95e-01 | total 8.00e-01 | scales [10.698536   4.2176094]
[Adam M0] Step 1800 | pde 7.58e-01 | bc 9.94e-02 | total 8.57e-01 | scales [10.698537   4.2296553]
[Adam M0] Step 2000 | pde 1.47e+00 | bc 1.78e-02 | total 1.49e+00 | scales [10.668643   4.1985855]
[Adam M0] Step 2200 | pde 1.10e+00 | bc 2.37e-02 | total 1.12e+00 | scales [10.607657   4.1534038]
[Adam M0] Step 2400 | pde 4.35e-01 | bc 1.24e-01 | total 5.59e-01 | scales [10.593604  4.255436]
[Adam M0] Step 2600 | pde 4.44e-01 | bc 1.43e-01 | total 5.87e-01 | scales [10.57222  4.26376]
[Adam M0] Step 2800 | pde 2.39e+00 | bc 2.11e-02 | total 2.41e+00 | scales [10.538563   4.1670175]
[Adam M0] Step 3000 | pde 3.86e-01 | bc 4.05e-02 | total 4.26e-01 | scales [10.495164   4.0677595]
[Adam M0] Step 3200 | pde 8.74e-01 | bc 1.09e-02 | total 8.85e-01 | scales [10.473733   4.1115932]
[Adam M0] Step 3400 | pde 4.66e-01 | bc 1.81e-02 | total 4.85e-01 | scales [10.44158    3.9507272]
[Adam M0] Step 3600 | pde 1.40e-01 | bc 8.76e-02 | total 2.28e-01 | scales [10.423206  4.104837]
[Adam M0] Step 3800 | pde 8.10e-01 | bc 1.22e-01 | total 9.32e-01 | scales [10.39788    4.2582006]
[Adam M0] Step 4000 | pde 4.15e-01 | bc 6.63e-02 | total 4.81e-01 | scales [10.396497  4.260149]
